"Dataset Name","Observation Date","Series Key","Series Display Name","Observation Value","Unit","Observation Status","Observation Status Comment","Sequence No.","Series name"
"Structure of Interest Rate: State Bank of Pakistan Policy Rates","16-May-2020","TS_GP_IR_SIRPR_AH.SBPOL0030",". State Bank of Pakistan's Policy (Target) Rate","8","Percent","Normal","","30","State Bank of Pakistan's Policy (Target) Rate"
"Structure of Interest Rate: State Bank of Pakistan Policy Rates","17-Apr-2020","TS_GP_IR_SIRPR_AH.SBPOL0010",". State Bank of Pakistan's Reverse Repo Rate","10","Percent","Normal","","10","State Bank of Pakistan's Reverse Repo Rate"
"Structure of Interest Rate: State Bank of Pakistan Policy Rates","17-Apr-2020","TS_GP_IR_SIRPR_AH.SBPOL0020",". State Bank of Pakistan's Repo Rate","8","Percent","Normal","","20","State Bank of Pakistan's Repo Rate"
"Structure of Interest Rate: State Bank of Pakistan Policy Rates","17-Apr-2020","TS_GP_IR_SIRPR_AH.SBPOL0030",". State Bank of Pakistan's Policy (Target) Rate","9","Percent","Normal","","30","State Bank of Pakistan's Policy (Target) Rate"
"Structure of Interest Rate: State Bank of Pakistan Policy Rates","16-Apr-2020","TS_GP_IR_SIRPR_AH.SBPOL0010",". State Bank of Pakistan's Reverse Repo Rate","10","Percent","Normal","","10","State Bank of Pakistan's Reverse Repo Rate"
"Structure of Interest Rate: State Bank of Pakistan Policy Rates","16-Apr-2020","TS_GP_IR_SIRPR_AH.SBPOL0020",". State Bank of Pakistan's Repo Rate","8","Percent","Normal","","20","State Bank of Pakistan's Repo Rate"
"Structure of Interest Rate: State Bank of Pakistan Policy Rates","16-Apr-2020","TS_GP_IR_SIRPR_AH.SBPOL0030",". State Bank of Pakistan's Policy (Target) Rate","9","Percent","Normal","","30","State Bank of Pakistan's Policy (Target) Rate"
"Structure of Interest Rate: State Bank of Pakistan Policy Rates","25-Mar-2020","TS_GP_IR_SIRPR_AH.SBPOL0010",". State Bank of Pakistan's Reverse Repo Rate","12","Percent","Normal","","10","State Bank of Pakistan's Reverse Repo Rate"
"Structure of Interest Rate: State Bank of Pakistan Policy Rates","25-Mar-2020","TS_GP_IR_SIRPR_AH.SBPOL0020",". State Bank of Pakistan's Repo Rate","10","Percent","Normal","","20","State Bank of Pakistan's Repo Rate"
"Structure of Interest Rate: State Bank of Pakistan Policy Rates","25-Mar-2020","TS_GP_IR_SIRPR_AH.SBPOL0030",". State Bank of Pakistan's Policy (Target) Rate","11","Percent","Normal","","30","State Bank of Pakistan's Policy (Target) Rate"
"Structure of Interest Rate: State Bank of Pakistan Policy Rates","18-Mar-2020","TS_GP_IR_SIRPR_AH.SBPOL0010",". State Bank of Pakistan's Reverse Repo Rate","13.5","Percent","Normal","","10","State Bank of Pakistan's Reverse Repo Rate"
"Structure of Interest Rate: State Bank of Pakistan Policy Rates","18-Mar-2020","TS_GP_IR_SIRPR_AH.SBPOL0020",". State Bank of Pakistan's Repo Rate","11.5","Percent","Normal","","20","State Bank of Pakistan's Repo Rate"
