"Dataset Name","Observation Date","Series Key","Series Display Name","Observation Value","Unit","Observation Status","Observation Status Comment","Sequence No.","Series name"
"Structure of Interest Rate: Weighted Average Lending and Deposit Rate","31-Aug-2022","TS_GP_BAM_SIRWALDR_M.WALD0010",". Weighted Average Lending Deposit Rates  Lending Marginal (Overall)","15.22","Percent","Normal","","10","Weighted Average Lending Deposit Rates  Lending Marginal (Overall)"
"Structure of Interest Rate: Weighted Average Lending and Deposit Rate","31-Aug-2022","TS_GP_BAM_SIRWALDR_M.WALD0020",". Weighted Average Lending Deposit Rates  Lending Stocks (Overall)","12.67","Percent","Normal","","20","Weighted Average Lending Deposit Rates  Lending Stocks (Overall)"
"Structure of Interest Rate: Weighted Average Lending and Deposit Rate","31-Aug-2022","TS_GP_BAM_SIRWALDR_M.WALD0030",". Weighted Average Lending Deposit Rates Deposit Marginal (Overall)","9.63","Percent","Normal","","30","Weighted Average Lending Deposit Rates Deposit Marginal (Overall)"
"Structure of Interest Rate: Weighted Average Lending and Deposit Rate","31-Aug-2022","TS_GP_BAM_SIRWALDR_M.WALD0040",". Weighted Average Lending Deposit Rates Deposit Stocks (Overall)","7.38","Percent","Normal","","40","Weighted Average Lending Deposit Rates Deposit Stocks (Overall)"
"Structure of Interest Rate: Weighted Average Lending and Deposit Rate","31-Aug-2022","TS_GP_BAM_SIRWALDR_M.WALDFC0010",". Weighted Average Lending Deposit Rates  Lending Marginal (Foreign Currency)","4.07","Percent","Normal","","50","Weighted Average Lending Deposit Rates  Lending Marginal (Foreign Currency)"
"Structure of Interest Rate: Weighted Average Lending and Deposit Rate","31-Aug-2022","TS_GP_BAM_SIRWALDR_M.WALDFC0020",". Weighted Average Lending Deposit Rates  Lending Stocks (Foreign Currency)","4.53","Percent","Normal","","60","Weighted Average Lending Deposit Rates  Lending Stocks (Foreign Currency)"
"Structure of Interest Rate: Weighted Average Lending and Deposit Rate","31-Aug-2022","TS_GP_BAM_SIRWALDR_M.WALDFC0030",". Weighted Average Lending Deposit Rates Deposit Marginal (Foreign Currency)","1.3","Percent","Normal","","70","Weighted Average Lending Deposit Rates Deposit Marginal (Foreign Currency)"
"Structure of Interest Rate: Weighted Average Lending and Deposit Rate","31-Aug-2022","TS_GP_BAM_SIRWALDR_M.WALDFC0040",". Weighted Average Lending Deposit Rates Deposit Stocks (Foreign Currency)","1.34","Percent","Normal","","80","Weighted Average Lending Deposit Rates Deposit Stocks (Foreign Currency)"
"Structure of Interest Rate: Weighted Average Lending and Deposit Rate","31-Jul-2022","TS_GP_BAM_SIRWALDR_M.WALD0010",". Weighted Average Lending Deposit Rates  Lending Marginal (Overall)","15.01","Percent","Normal","","10","Weighted Average Lending Deposit Rates  Lending Marginal (Overall)"
"Structure of Interest Rate: Weighted Average Lending and Deposit Rate","31-Jul-2022","TS_GP_BAM_SIRWALDR_M.WALD0020",". Weighted Average Lending Deposit Rates  Lending Stocks (Overall)","12.09","Percent","Normal","","20","Weighted Average Lending Deposit Rates  Lending Stocks (Overall)"
"Structure of Interest Rate: Weighted Average Lending and Deposit Rate","31-Jul-2022","TS_GP_BAM_SIRWALDR_M.WALD0030",". Weighted Average Lending Deposit Rates Deposit Marginal (Overall)","8.85","Percent","Normal","","30","Weighted Average Lending Deposit Rates Deposit Marginal (Overall)"
"Structure of Interest Rate: Weighted Average Lending and Deposit Rate","31-Jul-2022","TS_GP_BAM_SIRWALDR_M.WALD0040",". Weighted Average Lending Deposit Rates Deposit Stocks (Overall)","6.91","Percent","Normal","","40","Weighted Average Lending Deposit Rates Deposit Stocks (Overall)"
"Structure of Interest Rate: Weighted Average Lending and Deposit Rate","31-Jul-2022","TS_GP_BAM_SIRWALDR_M.WALDFC0010",". Weighted Average Lending Deposit Rates  Lending Marginal (Foreign Currency)","3.12","Percent","Normal","","50","Weighted Average Lending Deposit Rates  Lending Marginal (Foreign Currency)"
"Structure of Interest Rate: Weighted Average Lending and Deposit Rate","31-Jul-2022","TS_GP_BAM_SIRWALDR_M.WALDFC0020",". Weighted Average Lending Deposit Rates  Lending Stocks (Foreign Currency)","3.85","Percent","Normal","","60","Weighted Average Lending Deposit Rates  Lending Stocks (Foreign Currency)"
"Structure of Interest Rate: Weighted Average Lending and Deposit Rate","31-Jul-2022","TS_GP_BAM_SIRWALDR_M.WALDFC0030",". Weighted Average Lending Deposit Rates Deposit Marginal (Foreign Currency)","1.64","Percent","Normal","","70","Weighted Average Lending Deposit Rates Deposit Marginal (Foreign Currency)"
"Structure of Interest Rate: Weighted Average Lending and Deposit Rate","31-Jul-2022","TS_GP_BAM_SIRWALDR_M.WALDFC0040",". Weighted Average Lending Deposit Rates Deposit Stocks (Foreign Currency)","1.13","Percent","Normal","","80","Weighted Average Lending Deposit Rates Deposit Stocks (Foreign Currency)"
"Structure of Interest Rate: Weighted Average Lending and Deposit Rate","30-Jun-2022","TS_GP_BAM_SIRWALDR_M.WALD0010",". Weighted Average Lending Deposit Rates  Lending Marginal (Overall)","13.63","Percent","Normal","","10","Weighted Average Lending Deposit Rates  Lending Marginal (Overall)"
"Structure of Interest Rate: Weighted Average Lending and Deposit Rate","30-Jun-2022","TS_GP_BAM_SIRWALDR_M.WALD0020",". Weighted Average Lending Deposit Rates  Lending Stocks (Overall)","11.37","Percent","Normal","","20","Weighted Average Lending Deposit Rates  Lending Stocks (Overall)"
"Structure of Interest Rate: Weighted Average Lending and Deposit Rate","30-Jun-2022","TS_GP_BAM_SIRWALDR_M.WALD0030",". Weighted Average Lending Deposit Rates Deposit Marginal (Overall)","8.79","Percent","Normal","","30","Weighted Average Lending Deposit Rates Deposit Marginal (Overall)"
"Structure of Interest Rate: Weighted Average Lending and Deposit Rate","30-Jun-2022","TS_GP_BAM_SIRWALDR_M.WALD0040",". Weighted Average Lending Deposit Rates Deposit Stocks (Overall)","6.96","Percent","Normal","","40","Weighted Average Lending Deposit Rates Deposit Stocks (Overall)"
"Structure of Interest Rate: Weighted Average Lending and Deposit Rate","30-Jun-2022","TS_GP_BAM_SIRWALDR_M.WALDFC0010",". Weighted Average Lending Deposit Rates  Lending Marginal (Foreign Currency)","6.6","Percent","Normal","","50","Weighted Average Lending Deposit Rates  Lending Marginal (Foreign Currency)"
