"Dataset Name","Observation Date","Series Key","Series Display Name","Observation Value","Unit","Observation Status","Observation Status Comment","Sequence No.","Series name"
"Gold and Foreign Exchange Reserves of Pakistan","31-Aug-2022","TS_GP_EXT_PAKRES_M.Z00030","....... (i) Net Reserves with SBP","8805","Million USD","Normal","","20","Net Reserves with SBP"
"Gold and Foreign Exchange Reserves of Pakistan","31-Aug-2022","TS_GP_EXT_PAKRES_M.Z00050","....... (ii) Net Reserves with Banks","5428","Million USD","Normal","","30","Net Reserves with Banks"
"Gold and Foreign Exchange Reserves of Pakistan","31-Aug-2022","TS_GP_EXT_PAKRES_M.Z00070",". Total Reserves (i+ii+iii)","14385","Million USD","Normal","","40","Total Reserves"
"Gold and Foreign Exchange Reserves of Pakistan","31-Aug-2022","TS_GP_EXT_PAKRES_M.Z00010","....... (i) Gold Reserves","3567","Million USD","Normal","","50","Gold Reserves"
"Gold and Foreign Exchange Reserves of Pakistan","31-Aug-2022","TS_GP_EXT_PAKRES_M.Z00020","....... (ii) Foreign Exchange Reserves with SBP","9021","Million USD","Normal","","60","Foreign Exchange Reserves with SBP"
"Gold and Foreign Exchange Reserves of Pakistan","31-Aug-2022","TS_GP_EXT_PAKRES_M.Z00040","....... (iii) Foreign Exchange Reserves with Scheduled Banks","1798","Million USD","Normal","","70","Foreign Exchange Reserves with Scheduled Banks"
"Gold and Foreign Exchange Reserves of Pakistan","31-Jul-2022","TS_GP_EXT_PAKRES_M.Z00060",". Total Liquid FX Reserves (i+ii)","13949","Million USD","Normal","","10","Total Liquid FX Reserves"
"Gold and Foreign Exchange Reserves of Pakistan","31-Jul-2022","TS_GP_EXT_PAKRES_M.Z00030","....... (i) Net Reserves with SBP","8395","Million USD","Normal","","20","Net Reserves with SBP"
"Gold and Foreign Exchange Reserves of Pakistan","31-Jul-2022","TS_GP_EXT_PAKRES_M.Z00050","....... (ii) Net Reserves with Banks","5554","Million USD","Normal","","30","Net Reserves with Banks"
"Gold and Foreign Exchange Reserves of Pakistan","31-Jul-2022","TS_GP_EXT_PAKRES_M.Z00070",". Total Reserves (i+ii+iii)","14213","Million USD","Normal","","40","Total Reserves"
"Gold and Foreign Exchange Reserves of Pakistan","31-Jul-2022","TS_GP_EXT_PAKRES_M.Z00010","....... (i) Gold Reserves","3644","Million USD","Normal","","50","Gold Reserves"
"Gold and Foreign Exchange Reserves of Pakistan","31-Jul-2022","TS_GP_EXT_PAKRES_M.Z00020","....... (ii) Foreign Exchange Reserves with SBP","8606","Million USD","Normal","","60","Foreign Exchange Reserves with SBP"
"Gold and Foreign Exchange Reserves of Pakistan","31-Jul-2022","TS_GP_EXT_PAKRES_M.Z00040","....... (iii) Foreign Exchange Reserves with Scheduled Banks","1963","Million USD","Normal","","70","Foreign Exchange Reserves with Scheduled Banks"
"Gold and Foreign Exchange Reserves of Pakistan","30-Jun-2022","TS_GP_EXT_PAKRES_M.Z00060",". Total Liquid FX Reserves (i+ii)","15450","Million USD","Normal","","10","Total Liquid FX Reserves"
"Gold and Foreign Exchange Reserves of Pakistan","30-Jun-2022","TS_GP_EXT_PAKRES_M.Z00030","....... (i) Net Reserves with SBP","9815","Million USD","Normal","","20","Net Reserves with SBP"
"Gold and Foreign Exchange Reserves of Pakistan","30-Jun-2022","TS_GP_EXT_PAKRES_M.Z00050","....... (ii) Net Reserves with Banks","5635","Million USD","Normal","","30","Net Reserves with Banks"
"Gold and Foreign Exchange Reserves of Pakistan","30-Jun-2022","TS_GP_EXT_PAKRES_M.Z00070",". Total Reserves (i+ii+iii)","16421","Million USD","Normal","","40","Total Reserves"
"Gold and Foreign Exchange Reserves of Pakistan","30-Jun-2022","TS_GP_EXT_PAKRES_M.Z00010","....... (i) Gold Reserves","3777","Million USD","Normal","","50","Gold Reserves"
"Gold and Foreign Exchange Reserves of Pakistan","30-Jun-2022","TS_GP_EXT_PAKRES_M.Z00020","....... (ii) Foreign Exchange Reserves with SBP","10064","Million USD","Normal","","60","Foreign Exchange Reserves with SBP"
"Gold and Foreign Exchange Reserves of Pakistan","30-Jun-2022","TS_GP_EXT_PAKRES_M.Z00040","....... (iii) Foreign Exchange Reserves with Scheduled Banks","2580","Million USD","Normal","","70","Foreign Exchange Reserves with Scheduled Banks"
"Gold and Foreign Exchange Reserves of Pakistan","31-May-2022","TS_GP_EXT_PAKRES_M.Z00060",". Total Liquid FX Reserves (i+ii)","15134","Million USD","Normal","","10","Total Liquid FX Reserves"
"Gold and Foreign Exchange Reserves of Pakistan","31-May-2022","TS_GP_EXT_PAKRES_M.Z00030","....... (i) Net Reserves with SBP","9397","Million USD","Normal","","20","Net Reserves with SBP"
"Gold and Foreign Exchange Reserves of Pakistan","31-May-2022","TS_GP_EXT_PAKRES_M.Z00050","....... (ii) Net Reserves with Banks","5737","Million USD","Normal","","30","Net Reserves with Banks"
"Gold and Foreign Exchange Reserves of Pakistan","31-May-2022","TS_GP_EXT_PAKRES_M.Z00070",". Total Reserves (i+ii+iii)","15530","Million USD","Normal","","40","Total Reserves"
"Gold and Foreign Exchange Reserves of Pakistan","31-May-2022","TS_GP_EXT_PAKRES_M.Z00010","....... (i) Gold Reserves","3822","Million USD","Normal","","50","Gold Reserves"
"Gold and Foreign Exchange Reserves of Pakistan","31-May-2022","TS_GP_EXT_PAKRES_M.Z00020","....... (ii) Foreign Exchange Reserves with SBP","9619","Million USD","Normal","","60","Foreign Exchange Reserves with SBP"
