"Dataset Name","Observation Date","Series Key","Series Display Name","Observation Value","Unit","Observation Status","Observation Status Comment","Sequence No.","Series name"
"Production and Sales of Auto Vehicles","30-Sep-2022","TS_GP_RLS_PSAUTO_M.AS_001004","......4 Sales of Buses","55","Number","Normal","","50","Sales of Buses"
"Production and Sales of Auto Vehicles","30-Sep-2022","TS_GP_RLS_PSAUTO_M.AS_001005","......5 Sales of LCVS (Pick Ups)","449","Number","Normal","","60","Sales of LCVS (Pick Ups)"
"Production and Sales of Auto Vehicles","30-Sep-2022","TS_GP_RLS_PSAUTO_M.AS_001006","......6 Sales of Tractors","2149","Number","Normal","","70","Sales of Tractors"
"Production and Sales of Auto Vehicles","30-Sep-2022","TS_GP_RLS_PSAUTO_M.TAP_001000",". Total of Auto production (Cars,jeeps, Trucks buses , LCV (Pick Ups),   tactors  except Motorcycles) Production","12328","Number","Normal","","80","Total auto production excluding motorcyles"
"Production and Sales of Auto Vehicles","30-Sep-2022","TS_GP_RLS_PSAUTO_M.AP_001001","......1 Production of Cars and Jeeps","9540","Number","Normal","","90","Production of Cars and Jeeps"
"Production and Sales of Auto Vehicles","30-Sep-2022","TS_GP_RLS_PSAUTO_M.AP_001002","......2 Production of Motor cycles","100231","Number","Normal","","100","Production of Motor cycles"
"Production and Sales of Auto Vehicles","30-Sep-2022","TS_GP_RLS_PSAUTO_M.AP_001003","......3 Production of Trucks","327","Number","Normal","","110","Production of Trucks"
"Production and Sales of Auto Vehicles","30-Sep-2022","TS_GP_RLS_PSAUTO_M.AP_001004","......4 Production of Buses","80","Number","Normal","","120","Production of Buses"
"Production and Sales of Auto Vehicles","30-Sep-2022","TS_GP_RLS_PSAUTO_M.AP_001005","......5 Production of LCVS (Pick Ups)","200","Number","Normal","","130","Production of LCVS (Pick Ups)"
"Production and Sales of Auto Vehicles","30-Sep-2022","TS_GP_RLS_PSAUTO_M.AP_001006","......6 Production of Tractors","2181","Number","Normal","","140","Production of Tractors"
"Production and Sales of Auto Vehicles","31-Aug-2022","TS_GP_RLS_PSAUTO_M.TAS_001000",". Total of Auto sales (Cars, jeeps, Trucks buses , LCV (Pick Ups), tractors except Motorcycles) Sales","15095","Number","Normal","","10","Total auto sales excluding motorcyles"
"Production and Sales of Auto Vehicles","31-Aug-2022","TS_GP_RLS_PSAUTO_M.AS_001001","......1 Sales of Cars and Jeeps","11457","Number","Normal","","20","Sales of Cars and Jeeps"
"Production and Sales of Auto Vehicles","31-Aug-2022","TS_GP_RLS_PSAUTO_M.AS_001002","......2 Sales of Motor cycles","102403","Number","Normal","","30","Sales of Motor cycles"
"Production and Sales of Auto Vehicles","31-Aug-2022","TS_GP_RLS_PSAUTO_M.AS_001003","......3 Sales of Trucks","272","Number","Normal","","40","Sales of Trucks"
"Production and Sales of Auto Vehicles","31-Aug-2022","TS_GP_RLS_PSAUTO_M.AS_001004","......4 Sales of Buses","46","Number","Normal","","50","Sales of Buses"
"Production and Sales of Auto Vehicles","31-Aug-2022","TS_GP_RLS_PSAUTO_M.AS_001005","......5 Sales of LCVS (Pick Ups)","332","Number","Normal","","60","Sales of LCVS (Pick Ups)"
"Production and Sales of Auto Vehicles","31-Aug-2022","TS_GP_RLS_PSAUTO_M.AS_001006","......6 Sales of Tractors","2965","Number","Normal","","70","Sales of Tractors"
"Production and Sales of Auto Vehicles","31-Aug-2022","TS_GP_RLS_PSAUTO_M.TAP_001000",". Total of Auto production (Cars,jeeps, Trucks buses , LCV (Pick Ups),   tactors  except Motorcycles) Production","16924","Number","Normal","","80","Total auto production excluding motorcyles"
"Production and Sales of Auto Vehicles","31-Aug-2022","TS_GP_RLS_PSAUTO_M.AP_001001","......1 Production of Cars and Jeeps","12128","Number","Normal","","90","Production of Cars and Jeeps"
"Production and Sales of Auto Vehicles","31-Aug-2022","TS_GP_RLS_PSAUTO_M.AP_001002","......2 Production of Motor cycles","103345","Number","Normal","","100","Production of Motor cycles"
"Production and Sales of Auto Vehicles","31-Aug-2022","TS_GP_RLS_PSAUTO_M.AP_001003","......3 Production of Trucks","291","Number","Normal","","110","Production of Trucks"
"Production and Sales of Auto Vehicles","31-Aug-2022","TS_GP_RLS_PSAUTO_M.AP_001004","......4 Production of Buses","95","Number","Normal","","120","Production of Buses"
"Production and Sales of Auto Vehicles","31-Aug-2022","TS_GP_RLS_PSAUTO_M.AP_001005","......5 Production of LCVS (Pick Ups)","1000","Number","Normal","","130","Production of LCVS (Pick Ups)"
"Production and Sales of Auto Vehicles","31-Aug-2022","TS_GP_RLS_PSAUTO_M.AP_001006","......6 Production of Tractors","3410","Number","Normal","","140","Production of Tractors"
"Production and Sales of Auto Vehicles","31-Jul-2022","TS_GP_RLS_PSAUTO_M.TAS_001000",". Total of Auto sales (Cars, jeeps, Trucks buses , LCV (Pick Ups), tractors except Motorcycles) Sales","14453","Number","Normal","","10","Total auto sales excluding motorcyles"
"Production and Sales of Auto Vehicles","31-Jul-2022","TS_GP_RLS_PSAUTO_M.AS_001001","......1 Sales of Cars and Jeeps","11329","Number","Normal","","20","Sales of Cars and Jeeps"
"Production and Sales of Auto Vehicles","31-Jul-2022","TS_GP_RLS_PSAUTO_M.AS_001002","......2 Sales of Motor cycles","96421","Number","Normal","","30","Sales of Motor cycles"
"Production and Sales of Auto Vehicles","31-Jul-2022","TS_GP_RLS_PSAUTO_M.AS_001003","......3 Sales of Trucks","271","Number","Normal","","40","Sales of Trucks"
"Production and Sales of Auto Vehicles","31-Jul-2022","TS_GP_RLS_PSAUTO_M.AS_001004","......4 Sales of Buses","40","Number","Normal","","50","Sales of Buses"
"Production and Sales of Auto Vehicles","31-Jul-2022","TS_GP_RLS_PSAUTO_M.AS_001005","......5 Sales of LCVS (Pick Ups)","596","Number","Normal","","60","Sales of LCVS (Pick Ups)"
"Production and Sales of Auto Vehicles","31-Jul-2022","TS_GP_RLS_PSAUTO_M.AS_001006","......6 Sales of Tractors","2254","Number","Normal","","70","Sales of Tractors"
"Production and Sales of Auto Vehicles","31-Jul-2022","TS_GP_RLS_PSAUTO_M.TAP_001000",". Total of Auto production (Cars,jeeps, Trucks buses , LCV (Pick Ups),   tactors  except Motorcycles) Production","20427","Number","Normal","","80","Total auto production excluding motorcyles"
"Production and Sales of Auto Vehicles","31-Jul-2022","TS_GP_RLS_PSAUTO_M.AP_001001","......1 Production of Cars and Jeeps","16641","Number","Normal","","90","Production of Cars and Jeeps"
"Production and Sales of Auto Vehicles","31-Jul-2022","TS_GP_RLS_PSAUTO_M.AP_001002","......2 Production of Motor cycles","93199","Number","Normal","","100","Production of Motor cycles"
"Production and Sales of Auto Vehicles","31-Jul-2022","TS_GP_RLS_PSAUTO_M.AP_001003","......3 Production of Trucks","328","Number","Normal","","110","Production of Trucks"
"Production and Sales of Auto Vehicles","31-Jul-2022","TS_GP_RLS_PSAUTO_M.AP_001004","......4 Production of Buses","73","Number","Normal","","120","Production of Buses"
"Production and Sales of Auto Vehicles","31-Jul-2022","TS_GP_RLS_PSAUTO_M.AP_001005","......5 Production of LCVS (Pick Ups)","985","Number","Normal","","130","Production of LCVS (Pick Ups)"
"Production and Sales of Auto Vehicles","31-Jul-2022","TS_GP_RLS_PSAUTO_M.AP_001006","......6 Production of Tractors","2400","Number","Normal","","140","Production of Tractors"
"Production and Sales of Auto Vehicles","30-Jun-2022","TS_GP_RLS_PSAUTO_M.TAS_001000",". Total of Auto sales (Cars, jeeps, Trucks buses , LCV (Pick Ups), tractors except Motorcycles) Sales","36558","Number","Normal","","10","Total auto sales excluding motorcyles"
"Production and Sales of Auto Vehicles","30-Jun-2022","TS_GP_RLS_PSAUTO_M.AS_001001","......1 Sales of Cars and Jeeps","26896","Number","Normal","","20","Sales of Cars and Jeeps"
"Production and Sales of Auto Vehicles","30-Jun-2022","TS_GP_RLS_PSAUTO_M.AS_001002","......2 Sales of Motor cycles","142629","Number","Normal","","30","Sales of Motor cycles"
