s1,s2,s3,s4,date,value
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Residents Foreign Currency Deposits (RFCDs),2023-04-21,1483438.376
Asset Side,NFA of Banking System,State Bank of Pakistan,State Bank of Pakistan,2023-04-21,-2117968.623
Asset Side,NFA of Banking System,Scheduled Banks,Scheduled Banks,2023-04-21,-680205.245
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Borrowings for Budgetary Support,2023-04-21,20980479.91
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Commodity Operations,2023-04-21,1202603.925
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Net effect of Zakat Fund etc.,2023-04-21,-14557.14319
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to Private Sector,2023-04-21,9189133.167
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to Public Sectors Enterprises (PSEs),2023-04-21,1661673.268
Asset Side,NDA of Banking System,Credit to Non-Government Sector,PSEs Special Account-Debt Repayment with SBP,2023-04-21,-24243.84132
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to NBFIs,2023-04-21,508672.3889
Asset Side,NDA of Banking System,Other Items (Net),Other Items (Net),2023-04-21,-1611196.253
Liability Side,Currency in Circulation,Currency in Circulation,Currency in Circulation,2023-04-14,8645873.582
Liability Side,Other Deposits with SBP,Other Deposits with SBP,Other Deposits with SBP,2023-04-14,95826.71459
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Demand Deposits,2023-04-14,17972757.61
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Time Deposits,2023-04-14,759871.6666
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Residents Foreign Currency Deposits (RFCDs),2023-04-14,1483438.376
Asset Side,NFA of Banking System,State Bank of Pakistan,State Bank of Pakistan,2023-04-14,-2139101.877
Asset Side,NFA of Banking System,Scheduled Banks,Scheduled Banks,2023-04-14,-720299.702
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Borrowings for Budgetary Support,2023-04-14,20893760.55
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Commodity Operations,2023-04-14,1111160.436
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Net effect of Zakat Fund etc.,2023-04-14,-19613.70708
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to Private Sector,2023-04-14,9176838.088
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to Public Sectors Enterprises (PSEs),2023-04-14,1642539.162
Asset Side,NDA of Banking System,Credit to Non-Government Sector,PSEs Special Account-Debt Repayment with SBP,2023-04-14,-24243.84132
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to NBFIs,2023-04-14,496059.6289
Asset Side,NDA of Banking System,Other Items (Net),Other Items (Net),2023-04-14,-1459330.795
Liability Side,Currency in Circulation,Currency in Circulation,Currency in Circulation,2023-04-07,8551382.545
Liability Side,Other Deposits with SBP,Other Deposits with SBP,Other Deposits with SBP,2023-04-07,94000.52311
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Demand Deposits,2023-04-07,17960997.85
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Time Deposits,2023-04-07,744128.6116
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Residents Foreign Currency Deposits (RFCDs),2023-04-07,1483438.376
Asset Side,NFA of Banking System,State Bank of Pakistan,State Bank of Pakistan,2023-04-07,-2251427.612
Asset Side,NFA of Banking System,Scheduled Banks,Scheduled Banks,2023-04-07,-652249.087
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Borrowings for Budgetary Support,2023-04-07,20812715.7
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Commodity Operations,2023-04-07,1100351.551
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Net effect of Zakat Fund etc.,2023-04-07,-19532.55701
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to Private Sector,2023-04-07,9151599.264
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to Public Sectors Enterprises (PSEs),2023-04-07,1576744.963
Asset Side,NDA of Banking System,Credit to Non-Government Sector,PSEs Special Account-Debt Repayment with SBP,2023-04-07,-24243.84132
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to NBFIs,2023-04-07,507875.5988
Asset Side,NDA of Banking System,Other Items (Net),Other Items (Net),2023-04-07,-1367886.078
Liability Side,Currency in Circulation,Currency in Circulation,Currency in Circulation,2023-03-31,8271311.935
Liability Side,Other Deposits with SBP,Other Deposits with SBP,Other Deposits with SBP,2023-03-31,96335.49965
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Demand Deposits,2023-03-31,18233339.9
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Time Deposits,2023-03-31,712172.6526
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Residents Foreign Currency Deposits (RFCDs),2023-03-31,1483438.376
Asset Side,NFA of Banking System,State Bank of Pakistan,State Bank of Pakistan,2023-03-31,-2225684.103
Asset Side,NFA of Banking System,Scheduled Banks,Scheduled Banks,2023-03-31,-600566.379
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Borrowings for Budgetary Support,2023-03-31,20908359.29
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Commodity Operations,2023-03-31,1111585.104
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Net effect of Zakat Fund etc.,2023-03-31,-20040.98522
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to Private Sector,2023-03-31,9258345.859
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to Public Sectors Enterprises (PSEs),2023-03-31,1588779.282
Asset Side,NDA of Banking System,Credit to Non-Government Sector,PSEs Special Account-Debt Repayment with SBP,2023-03-31,-24243.84132
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to NBFIs,2023-03-31,525775.3506
Asset Side,NDA of Banking System,Other Items (Net),Other Items (Net),2023-03-31,-1725711.215
Liability Side,Currency in Circulation,Currency in Circulation,Currency in Circulation,2023-03-24,8353317.675
Liability Side,Other Deposits with SBP,Other Deposits with SBP,Other Deposits with SBP,2023-03-24,94181.08236
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Demand Deposits,2023-03-24,17376618.66
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Time Deposits,2023-03-24,785128.7306
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Residents Foreign Currency Deposits (RFCDs),2023-03-24,1483438.376
Asset Side,NFA of Banking System,State Bank of Pakistan,State Bank of Pakistan,2023-03-24,-2178754.502
Asset Side,NFA of Banking System,Scheduled Banks,Scheduled Banks,2023-03-24,-643757.532
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Borrowings for Budgetary Support,2023-03-24,20856494.04
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Commodity Operations,2023-03-24,1153272.748
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Net effect of Zakat Fund etc.,2023-03-24,-19505.8009
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to Private Sector,2023-03-24,9229526.147
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to Public Sectors Enterprises (PSEs),2023-03-24,1559678.597
Asset Side,NDA of Banking System,Credit to Non-Government Sector,PSEs Special Account-Debt Repayment with SBP,2023-03-24,-24243.84132
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to NBFIs,2023-03-24,491643.7418
Asset Side,NDA of Banking System,Other Items (Net),Other Items (Net),2023-03-24,-2331669.079
Liability Side,Currency in Circulation,Currency in Circulation,Currency in Circulation,2023-03-17,8289754.376
Liability Side,Other Deposits with SBP,Other Deposits with SBP,Other Deposits with SBP,2023-03-17,93341.48697
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Demand Deposits,2023-03-17,17504349.95
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Time Deposits,2023-03-17,888189.5889
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Residents Foreign Currency Deposits (RFCDs),2023-03-17,1347158.072
Asset Side,NFA of Banking System,State Bank of Pakistan,State Bank of Pakistan,2023-03-17,-2079432.036
Asset Side,NFA of Banking System,Scheduled Banks,Scheduled Banks,2023-03-17,-664549.1813
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Borrowings for Budgetary Support,2023-03-17,20799409.31
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Commodity Operations,2023-03-17,1146132.975
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Net effect of Zakat Fund etc.,2023-03-17,-19485.55335
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to Private Sector,2023-03-17,9184233.501
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to Public Sectors Enterprises (PSEs),2023-03-17,1546400.161
Asset Side,NDA of Banking System,Credit to Non-Government Sector,PSEs Special Account-Debt Repayment with SBP,2023-03-17,-24243.84132
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to NBFIs,2023-03-17,524490.1504
Asset Side,NDA of Banking System,Other Items (Net),Other Items (Net),2023-03-17,-2290162.017
Liability Side,Currency in Circulation,Currency in Circulation,Currency in Circulation,2023-03-10,8291926.8
Liability Side,Other Deposits with SBP,Other Deposits with SBP,Other Deposits with SBP,2023-03-10,92602.77294
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Demand Deposits,2023-03-10,17510635.08
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Time Deposits,2023-03-10,894079.1289
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Residents Foreign Currency Deposits (RFCDs),2023-03-10,1347158.072
Asset Side,NFA of Banking System,State Bank of Pakistan,State Bank of Pakistan,2023-03-10,-2150819.617
Asset Side,NFA of Banking System,Scheduled Banks,Scheduled Banks,2023-03-10,-573959.6833
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Borrowings for Budgetary Support,2023-03-10,20766498.78
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Commodity Operations,2023-03-10,1125314.328
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Net effect of Zakat Fund etc.,2023-03-10,-19465.56133
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to Private Sector,2023-03-10,9204967.975
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to Public Sectors Enterprises (PSEs),2023-03-10,1544544.133
Asset Side,NDA of Banking System,Credit to Non-Government Sector,PSEs Special Account-Debt Repayment with SBP,2023-03-10,-24243.84132
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to NBFIs,2023-03-10,549390.2006
Asset Side,NDA of Banking System,Other Items (Net),Other Items (Net),2023-03-10,-2285824.867
Liability Side,Currency in Circulation,Currency in Circulation,Currency in Circulation,2023-03-03,8148376.42
Liability Side,Other Deposits with SBP,Other Deposits with SBP,Other Deposits with SBP,2023-03-03,92429.1855
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Demand Deposits,2023-03-03,17476119.49
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Time Deposits,2023-03-03,852455.1509
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Residents Foreign Currency Deposits (RFCDs),2023-03-03,1347158.072
Asset Side,NFA of Banking System,State Bank of Pakistan,State Bank of Pakistan,2023-03-03,-2163798.886
Asset Side,NFA of Banking System,Scheduled Banks,Scheduled Banks,2023-03-03,-666729.9553
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Borrowings for Budgetary Support,2023-03-03,20642999.98
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Commodity Operations,2023-03-03,1126735.437
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Net effect of Zakat Fund etc.,2023-03-03,-19793.90166
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to Private Sector,2023-03-03,9352401.463
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to Public Sectors Enterprises (PSEs),2023-03-03,1535915.698
Asset Side,NDA of Banking System,Credit to Non-Government Sector,PSEs Special Account-Debt Repayment with SBP,2023-03-03,-24243.84132
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to NBFIs,2023-03-03,663939.3744
Asset Side,NDA of Banking System,Other Items (Net),Other Items (Net),2023-03-03,-2530887.052
Liability Side,Currency in Circulation,Currency in Circulation,Currency in Circulation,2023-02-24,8059997.5
Liability Side,Other Deposits with SBP,Other Deposits with SBP,Other Deposits with SBP,2023-02-24,91975.0834
