s1,s2,s3,s4,date,value
Asset Side,NDA of Banking System,Other Items (Net),Other Items (Net),2020-01-03,-1500738.662
Liability Side,Currency in Circulation,Currency in Circulation,Currency in Circulation,2019-12-27,5390865.117
Liability Side,Other Deposits with SBP,Other Deposits with SBP,Other Deposits with SBP,2019-12-27,33757.62107
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Demand Deposits,2019-12-27,11188527.84
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Time Deposits,2019-12-27,810392.0547
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Residents Foreign Currency Deposits (RFCDs),2019-12-27,1027892.894
Asset Side,NFA of Banking System,State Bank of Pakistan,State Bank of Pakistan,2019-12-27,-369438.1538
Asset Side,NFA of Banking System,Scheduled Banks,Scheduled Banks,2019-12-27,-299454.4252
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Borrowings for Budgetary Support,2019-12-27,11957961.73
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Commodity Operations,2019-12-27,692017.8536
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Net effect of Zakat Fund etc.,2019-12-27,-14982.85235
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to Private Sector,2019-12-27,6784573.744
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to Public Sectors Enterprises (PSEs),2019-12-27,1403253.706
Asset Side,NDA of Banking System,Credit to Non-Government Sector,PSEs Special Account-Debt Repayment with SBP,2019-12-27,-24243.84132
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to NBFIs,2019-12-27,37049.791
Asset Side,NDA of Banking System,Other Items (Net),Other Items (Net),2019-12-27,-1715302.027
Liability Side,Currency in Circulation,Currency in Circulation,Currency in Circulation,2019-12-20,5441027.438
Liability Side,Other Deposits with SBP,Other Deposits with SBP,Other Deposits with SBP,2019-12-20,33795.54035
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Demand Deposits,2019-12-20,10987372
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Time Deposits,2019-12-20,783704.7822
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Residents Foreign Currency Deposits (RFCDs),2019-12-20,1049256.661
Asset Side,NFA of Banking System,State Bank of Pakistan,State Bank of Pakistan,2019-12-20,-465858.2806
Asset Side,NFA of Banking System,Scheduled Banks,Scheduled Banks,2019-12-20,-320306.7431
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Borrowings for Budgetary Support,2019-12-20,11942335.85
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Commodity Operations,2019-12-20,690969.834
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Net effect of Zakat Fund etc.,2019-12-20,-14957.29266
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to Private Sector,2019-12-20,6771025.541
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to Public Sectors Enterprises (PSEs),2019-12-20,1374448.225
Asset Side,NDA of Banking System,Credit to Non-Government Sector,PSEs Special Account-Debt Repayment with SBP,2019-12-20,-24243.84132
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to NBFIs,2019-12-20,37060.295
Asset Side,NDA of Banking System,Other Items (Net),Other Items (Net),2019-12-20,-1695317.165
Liability Side,Currency in Circulation,Currency in Circulation,Currency in Circulation,2019-12-13,5463613.233
Liability Side,Other Deposits with SBP,Other Deposits with SBP,Other Deposits with SBP,2019-12-13,33834.3463
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Demand Deposits,2019-12-13,10930301.28
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Time Deposits,2019-12-13,752636.8793
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Residents Foreign Currency Deposits (RFCDs),2019-12-13,1049256.661
Asset Side,NFA of Banking System,State Bank of Pakistan,State Bank of Pakistan,2019-12-13,-482585.2165
Asset Side,NFA of Banking System,Scheduled Banks,Scheduled Banks,2019-12-13,-339411.5672
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Borrowings for Budgetary Support,2019-12-13,11912025.12
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Commodity Operations,2019-12-13,692244.3655
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Net effect of Zakat Fund etc.,2019-12-13,-14951.72218
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to Private Sector,2019-12-13,6754615.464
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to Public Sectors Enterprises (PSEs),2019-12-13,1376019.538
Asset Side,NDA of Banking System,Credit to Non-Government Sector,PSEs Special Account-Debt Repayment with SBP,2019-12-13,-24243.84132
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to NBFIs,2019-12-13,37004.342
Asset Side,NDA of Banking System,Other Items (Net),Other Items (Net),2019-12-13,-1681074.089
Liability Side,Currency in Circulation,Currency in Circulation,Currency in Circulation,2019-12-06,5435109.936
Liability Side,Other Deposits with SBP,Other Deposits with SBP,Other Deposits with SBP,2019-12-06,33855.32022
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Demand Deposits,2019-12-06,10883857.27
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Time Deposits,2019-12-06,734782.7936
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Residents Foreign Currency Deposits (RFCDs),2019-12-06,1049256.661
Asset Side,NFA of Banking System,State Bank of Pakistan,State Bank of Pakistan,2019-12-06,-735876.3025
Asset Side,NFA of Banking System,Scheduled Banks,Scheduled Banks,2019-12-06,-338525.5917
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Borrowings for Budgetary Support,2019-12-06,12092269.41
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Commodity Operations,2019-12-06,693094.812
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Net effect of Zakat Fund etc.,2019-12-06,-14883.00204
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to Private Sector,2019-12-06,6745725.209
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to Public Sectors Enterprises (PSEs),2019-12-06,1383003.067
Asset Side,NDA of Banking System,Credit to Non-Government Sector,PSEs Special Account-Debt Repayment with SBP,2019-12-06,-24243.84132
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to NBFIs,2019-12-06,37021.393
Asset Side,NDA of Banking System,Other Items (Net),Other Items (Net),2019-12-06,-1700723.175
Liability Side,Currency in Circulation,Currency in Circulation,Currency in Circulation,2019-11-29,5311305.745
Liability Side,Other Deposits with SBP,Other Deposits with SBP,Other Deposits with SBP,2019-11-29,33346.89919
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Demand Deposits,2019-11-29,10934892.94
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Time Deposits,2019-11-29,722786.9409
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Residents Foreign Currency Deposits (RFCDs),2019-11-29,1049256.661
Asset Side,NFA of Banking System,State Bank of Pakistan,State Bank of Pakistan,2019-11-29,-757784.1489
Asset Side,NFA of Banking System,Scheduled Banks,Scheduled Banks,2019-11-29,-317795.2759
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Borrowings for Budgetary Support,2019-11-29,11927022.37
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Commodity Operations,2019-11-29,703167.5243
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Net effect of Zakat Fund etc.,2019-11-29,-14885.99477
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to Private Sector,2019-11-29,6753603.587
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to Public Sectors Enterprises (PSEs),2019-11-29,1375289.474
Asset Side,NDA of Banking System,Credit to Non-Government Sector,PSEs Special Account-Debt Repayment with SBP,2019-11-29,-24243.84132
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to NBFIs,2019-11-29,36927.076
Asset Side,NDA of Banking System,Other Items (Net),Other Items (Net),2019-11-29,-1629711.592
Liability Side,Currency in Circulation,Currency in Circulation,Currency in Circulation,2019-11-22,5389465.222
Liability Side,Other Deposits with SBP,Other Deposits with SBP,Other Deposits with SBP,2019-11-22,33373.66264
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Demand Deposits,2019-11-22,10638519.66
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Time Deposits,2019-11-22,739460.0905
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Residents Foreign Currency Deposits (RFCDs),2019-11-22,1066492.996
Asset Side,NFA of Banking System,State Bank of Pakistan,State Bank of Pakistan,2019-11-22,-821840.532
Asset Side,NFA of Banking System,Scheduled Banks,Scheduled Banks,2019-11-22,-270512.7897
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Borrowings for Budgetary Support,2019-11-22,11790694.6
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Commodity Operations,2019-11-22,706168.7824
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Net effect of Zakat Fund etc.,2019-11-22,-14714.67556
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to Private Sector,2019-11-22,6724565.473
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to Public Sectors Enterprises (PSEs),2019-11-22,1368529.694
Asset Side,NDA of Banking System,Credit to Non-Government Sector,PSEs Special Account-Debt Repayment with SBP,2019-11-22,-24243.84132
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to NBFIs,2019-11-22,36906.92
Asset Side,NDA of Banking System,Other Items (Net),Other Items (Net),2019-11-22,-1628242.001
Liability Side,Currency in Circulation,Currency in Circulation,Currency in Circulation,2019-11-15,5439814.02
Liability Side,Other Deposits with SBP,Other Deposits with SBP,Other Deposits with SBP,2019-11-15,34038.41629
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Demand Deposits,2019-11-15,10630405.03
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Time Deposits,2019-11-15,720085.3092
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Residents Foreign Currency Deposits (RFCDs),2019-11-15,1066492.996
Asset Side,NFA of Banking System,State Bank of Pakistan,State Bank of Pakistan,2019-11-15,-858613.9389
Asset Side,NFA of Banking System,Scheduled Banks,Scheduled Banks,2019-11-15,-286094.37
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Borrowings for Budgetary Support,2019-11-15,11886887.46
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Commodity Operations,2019-11-15,709504.1208
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Net effect of Zakat Fund etc.,2019-11-15,-14672.50899
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to Private Sector,2019-11-15,6682770.424
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to Public Sectors Enterprises (PSEs),2019-11-15,1402316.459
Asset Side,NDA of Banking System,Credit to Non-Government Sector,PSEs Special Account-Debt Repayment with SBP,2019-11-15,-24243.84132
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to NBFIs,2019-11-15,36669.746
Asset Side,NDA of Banking System,Other Items (Net),Other Items (Net),2019-11-15,-1643687.785
Liability Side,Currency in Circulation,Currency in Circulation,Currency in Circulation,2019-11-08,5440706.434
Liability Side,Other Deposits with SBP,Other Deposits with SBP,Other Deposits with SBP,2019-11-08,34075.41752
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Demand Deposits,2019-11-08,10659693.41
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Time Deposits,2019-11-08,690511.0739
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Residents Foreign Currency Deposits (RFCDs),2019-11-08,1066492.996
Asset Side,NFA of Banking System,State Bank of Pakistan,State Bank of Pakistan,2019-11-08,-865434.4678
Asset Side,NFA of Banking System,Scheduled Banks,Scheduled Banks,2019-11-08,-291883.3046
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Borrowings for Budgetary Support,2019-11-08,11907018.73
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Commodity Operations,2019-11-08,715398.0274
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Net effect of Zakat Fund etc.,2019-11-08,-14619.02262
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to Private Sector,2019-11-08,6652765.093
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to Public Sectors Enterprises (PSEs),2019-11-08,1390892.053
Asset Side,NDA of Banking System,Credit to Non-Government Sector,PSEs Special Account-Debt Repayment with SBP,2019-11-08,-24243.84132
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to NBFIs,2019-11-08,36654.855
Asset Side,NDA of Banking System,Other Items (Net),Other Items (Net),2019-11-08,-1615068.801
Liability Side,Currency in Circulation,Currency in Circulation,Currency in Circulation,2019-11-01,5309455.045
Liability Side,Other Deposits with SBP,Other Deposits with SBP,Other Deposits with SBP,2019-11-01,34255.72598
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Demand Deposits,2019-11-01,10831345.22
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Time Deposits,2019-11-01,672302.1282
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Residents Foreign Currency Deposits (RFCDs),2019-11-01,1066492.996
Asset Side,NFA of Banking System,State Bank of Pakistan,State Bank of Pakistan,2019-11-01,-869361.6895
Asset Side,NFA of Banking System,Scheduled Banks,Scheduled Banks,2019-11-01,-342014.6706
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Borrowings for Budgetary Support,2019-11-01,11928122.38
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Commodity Operations,2019-11-01,719323.1348
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Net effect of Zakat Fund etc.,2019-11-01,-14364.36641
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to Private Sector,2019-11-01,6659936.129
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to Public Sectors Enterprises (PSEs),2019-11-01,1401389.99
Asset Side,NDA of Banking System,Credit to Non-Government Sector,PSEs Special Account-Debt Repayment with SBP,2019-11-01,-24243.84132
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to NBFIs,2019-11-01,36542.49
Asset Side,NDA of Banking System,Other Items (Net),Other Items (Net),2019-11-01,-1581478.44
Liability Side,Currency in Circulation,Currency in Circulation,Currency in Circulation,2019-10-25,5331100.942
Liability Side,Other Deposits with SBP,Other Deposits with SBP,Other Deposits with SBP,2019-10-25,34153.87678
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Demand Deposits,2019-10-25,10688973
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Time Deposits,2019-10-25,651119.9722
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Residents Foreign Currency Deposits (RFCDs),2019-10-25,1066492.996
Asset Side,NFA of Banking System,State Bank of Pakistan,State Bank of Pakistan,2019-10-25,-925413.9011
Asset Side,NFA of Banking System,Scheduled Banks,Scheduled Banks,2019-10-25,-306062.3696
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Borrowings for Budgetary Support,2019-10-25,11872485.12
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Commodity Operations,2019-10-25,725724.8913
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Net effect of Zakat Fund etc.,2019-10-25,-14201.95266
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to Private Sector,2019-10-25,6627309.779
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to Public Sectors Enterprises (PSEs),2019-10-25,1389004.125
Asset Side,NDA of Banking System,Credit to Non-Government Sector,PSEs Special Account-Debt Repayment with SBP,2019-10-25,-24243.84132
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to NBFIs,2019-10-25,36508.181
Asset Side,NDA of Banking System,Other Items (Net),Other Items (Net),2019-10-25,-1609269.255
Liability Side,Currency in Circulation,Currency in Circulation,Currency in Circulation,2019-10-18,5374572.707
Liability Side,Other Deposits with SBP,Other Deposits with SBP,Other Deposits with SBP,2019-10-18,34148.28013
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Demand Deposits,2019-10-18,10690463.31
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Time Deposits,2019-10-18,648359.1744
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Residents Foreign Currency Deposits (RFCDs),2019-10-18,1060758.419
Asset Side,NFA of Banking System,State Bank of Pakistan,State Bank of Pakistan,2019-10-18,-922288.1643
Asset Side,NFA of Banking System,Scheduled Banks,Scheduled Banks,2019-10-18,-334850.4126
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Borrowings for Budgetary Support,2019-10-18,11894783.78
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Commodity Operations,2019-10-18,725370.5332
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Net effect of Zakat Fund etc.,2019-10-18,-17051.96499
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to Private Sector,2019-10-18,6638246.251
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to Public Sectors Enterprises (PSEs),2019-10-18,1393711.699
Asset Side,NDA of Banking System,Credit to Non-Government Sector,PSEs Special Account-Debt Repayment with SBP,2019-10-18,-24243.84132
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to NBFIs,2019-10-18,36480.103
Asset Side,NDA of Banking System,Other Items (Net),Other Items (Net),2019-10-18,-1581856.096
Liability Side,Currency in Circulation,Currency in Circulation,Currency in Circulation,2019-10-11,5394462.375
Liability Side,Other Deposits with SBP,Other Deposits with SBP,Other Deposits with SBP,2019-10-11,34161.05861
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Demand Deposits,2019-10-11,10738829.2
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Time Deposits,2019-10-11,639271.0119
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Residents Foreign Currency Deposits (RFCDs),2019-10-11,1060758.419
Asset Side,NFA of Banking System,State Bank of Pakistan,State Bank of Pakistan,2019-10-11,-935033.6912
Asset Side,NFA of Banking System,Scheduled Banks,Scheduled Banks,2019-10-11,-327856.3036
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Borrowings for Budgetary Support,2019-10-11,11907438.15
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Commodity Operations,2019-10-11,729664.2279
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Net effect of Zakat Fund etc.,2019-10-11,-17228.68507
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to Private Sector,2019-10-11,6605343.788
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to Public Sectors Enterprises (PSEs),2019-10-11,1389561.022
Asset Side,NDA of Banking System,Credit to Non-Government Sector,PSEs Special Account-Debt Repayment with SBP,2019-10-11,-24243.84132
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to NBFIs,2019-10-11,36426.656
Asset Side,NDA of Banking System,Other Items (Net),Other Items (Net),2019-10-11,-1496589.263
Liability Side,Currency in Circulation,Currency in Circulation,Currency in Circulation,2019-10-04,5335390.775
Liability Side,Other Deposits with SBP,Other Deposits with SBP,Other Deposits with SBP,2019-10-04,34960.1254
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Demand Deposits,2019-10-04,10774987.33
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Time Deposits,2019-10-04,621058.2572
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Residents Foreign Currency Deposits (RFCDs),2019-10-04,1060758.419
Asset Side,NFA of Banking System,State Bank of Pakistan,State Bank of Pakistan,2019-10-04,-939372.2851
Asset Side,NFA of Banking System,Scheduled Banks,Scheduled Banks,2019-10-04,-334308.5116
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Borrowings for Budgetary Support,2019-10-04,11855938.17
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Commodity Operations,2019-10-04,731285.5547
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Net effect of Zakat Fund etc.,2019-10-04,-17159.6462
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to Private Sector,2019-10-04,6617060.871
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to Public Sectors Enterprises (PSEs),2019-10-04,1379561.443
Asset Side,NDA of Banking System,Credit to Non-Government Sector,PSEs Special Account-Debt Repayment with SBP,2019-10-04,-24243.84132
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to NBFIs,2019-10-04,36449.37
Asset Side,NDA of Banking System,Other Items (Net),Other Items (Net),2019-10-04,-1478056.218
Liability Side,Currency in Circulation,Currency in Circulation,Currency in Circulation,2019-09-27,5271481.687
Liability Side,Other Deposits with SBP,Other Deposits with SBP,Other Deposits with SBP,2019-09-27,34550.27045
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Demand Deposits,2019-09-27,10832167.18
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Time Deposits,2019-09-27,613301.7603
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Residents Foreign Currency Deposits (RFCDs),2019-09-27,1060758.419
Asset Side,NFA of Banking System,State Bank of Pakistan,State Bank of Pakistan,2019-09-27,-949933.5176
Asset Side,NFA of Banking System,Scheduled Banks,Scheduled Banks,2019-09-27,-333001.8326
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Borrowings for Budgetary Support,2019-09-27,11929225.79
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Commodity Operations,2019-09-27,734721.5252
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Net effect of Zakat Fund etc.,2019-09-27,-17122.22478
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to Private Sector,2019-09-27,6606729.158
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to Public Sectors Enterprises (PSEs),2019-09-27,1364186.669
Asset Side,NDA of Banking System,Credit to Non-Government Sector,PSEs Special Account-Debt Repayment with SBP,2019-09-27,-24243.84132
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to NBFIs,2019-09-27,36536.865
Asset Side,NDA of Banking System,Other Items (Net),Other Items (Net),2019-09-27,-1534839.273
Liability Side,Currency in Circulation,Currency in Circulation,Currency in Circulation,2019-09-20,5350025.8
Liability Side,Other Deposits with SBP,Other Deposits with SBP,Other Deposits with SBP,2019-09-20,34376.82141
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Demand Deposits,2019-09-20,10684350.35
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Time Deposits,2019-09-20,600205.5938
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Residents Foreign Currency Deposits (RFCDs),2019-09-20,1074596.907
Asset Side,NFA of Banking System,State Bank of Pakistan,State Bank of Pakistan,2019-09-20,-838300.9331
Asset Side,NFA of Banking System,Scheduled Banks,Scheduled Banks,2019-09-20,-300172.8399
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Borrowings for Budgetary Support,2019-09-20,11754515.77
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Commodity Operations,2019-09-20,742600.1563
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Net effect of Zakat Fund etc.,2019-09-20,-17130.83446
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to Private Sector,2019-09-20,6545165.108
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to Public Sectors Enterprises (PSEs),2019-09-20,1366511.625
Asset Side,NDA of Banking System,Credit to Non-Government Sector,PSEs Special Account-Debt Repayment with SBP,2019-09-20,-24243.84132
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to NBFIs,2019-09-20,36546.433
Asset Side,NDA of Banking System,Other Items (Net),Other Items (Net),2019-09-20,-1521935.175
Liability Side,Currency in Circulation,Currency in Circulation,Currency in Circulation,2019-09-13,5421608.995
Liability Side,Other Deposits with SBP,Other Deposits with SBP,Other Deposits with SBP,2019-09-13,34374.66909
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Demand Deposits,2019-09-13,10711515.28
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Time Deposits,2019-09-13,584827.6142
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Residents Foreign Currency Deposits (RFCDs),2019-09-13,1074596.907
Asset Side,NFA of Banking System,State Bank of Pakistan,State Bank of Pakistan,2019-09-13,-823211.2087
Asset Side,NFA of Banking System,Scheduled Banks,Scheduled Banks,2019-09-13,-287590.6559
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Borrowings for Budgetary Support,2019-09-13,11755696.91
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Commodity Operations,2019-09-13,743132.6461
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Net effect of Zakat Fund etc.,2019-09-13,-17062.42922
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to Private Sector,2019-09-13,6545411.199
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to Public Sectors Enterprises (PSEs),2019-09-13,1378691.295
Asset Side,NDA of Banking System,Credit to Non-Government Sector,PSEs Special Account-Debt Repayment with SBP,2019-09-13,-24243.84132
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to NBFIs,2019-09-13,36558.038
Asset Side,NDA of Banking System,Other Items (Net),Other Items (Net),2019-09-13,-1480458.492
Liability Side,Currency in Circulation,Currency in Circulation,Currency in Circulation,2019-09-06,5391995.57
Liability Side,Other Deposits with SBP,Other Deposits with SBP,Other Deposits with SBP,2019-09-06,34351.25231
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Demand Deposits,2019-09-06,10648097.12
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Time Deposits,2019-09-06,577517.5356
Liability Side,Total Deposits of Scheduled Banks,Total Deposits of Scheduled Banks,Residents Foreign Currency Deposits (RFCDs),2019-09-06,1074596.907
Asset Side,NFA of Banking System,State Bank of Pakistan,State Bank of Pakistan,2019-09-06,-845545.11
Asset Side,NFA of Banking System,Scheduled Banks,Scheduled Banks,2019-09-06,-329051.3029
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Borrowings for Budgetary Support,2019-09-06,11731603.79
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Commodity Operations,2019-09-06,743136.4144
Asset Side,NDA of Banking System,Net Government Sector Borrowings,Net effect of Zakat Fund etc.,2019-09-06,-17005.75813
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to Private Sector,2019-09-06,6574577.498
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to Public Sectors Enterprises (PSEs),2019-09-06,1374860.107
Asset Side,NDA of Banking System,Credit to Non-Government Sector,PSEs Special Account-Debt Repayment with SBP,2019-09-06,-24243.84132
Asset Side,NDA of Banking System,Credit to Non-Government Sector,Credit to NBFIs,2019-09-06,36578.51
Asset Side,NDA of Banking System,Other Items (Net),Other Items (Net),2019-09-06,-1518351.928
