series_name,date,trade_type,value,series_name2
Miscellaneous Manufactured articles,2023-02-28,exports,47506.035,Miscellaneous Manufactured articles
"Works of Arts, Collectors, Pieces, Antiques and Special Transactions NES",2023-02-28,exports,1314.295,Other
Live Animals and Animals Products,2023-01-31,exports,71158.49,Live Animals and Animals Products
Vegetable Products,2023-01-31,exports,222307.432,Vegetable Products
"Animal or Vegetable Fats, Oils and Waxes",2023-01-31,exports,2382.917,Other
"Prepared Foodstuffs; Beverages, Spirits, Vinegar and Tobacco",2023-01-31,exports,81102.484,"Prepared Foodstuffs; Beverages, Spirits, Vinegar and Tobacco"
Mineral Products,2023-01-31,exports,94286.005,Mineral Products
Products of Chemical or Allied Industries,2023-01-31,exports,45082.113,Products of Chemical or Allied Industries
Plastics and articles thereof; Rubber and articles thereof,2023-01-31,exports,25999.333,Plastics and articles thereof; Rubber and articles thereof
"Raw Hide and Skins, Leather, Fur skins and articles thereof",2023-01-31,exports,67491.027,"Raw Hide and Skins, Leather, Fur skins and articles thereof"
Wood and articles of Wood,2023-01-31,exports,2861.671,Other
Pulp of Wood or of other Fibrous Cellulosic Material,2023-01-31,exports,4090.652,Other
Textiles and Textile articles,2023-01-31,exports,1306323.774,Textiles and Textile articles
"Footwear, Headgear, Umbrellas, Walking Sticks etc..",2023-01-31,exports,13845.65,Other
"articles of Stone, Plaster, Cement, Asbestos, Mica or similar Materials",2023-01-31,exports,5754.131,Other
"Natural or Cultured Pearls, Precious or Semi Precious Stones, Metals",2023-01-31,exports,853.471,Other
Base Metals and articles or Base Metal,2023-01-31,exports,67247.788,Base Metals and articles or Base Metal
Machinery and Mechanical Appliances,2023-01-31,exports,10609.85,Other
"Vehicles, Aircraft, Vessels and Associated Transport Equipment",2023-01-31,exports,6229.195,Other
"Optical, Photographic, Cinematographer, Measuring, Checking, Precision Apparatus",2023-01-31,exports,39277.115,Other
"Arms and Ammunition, Parts and Acces.sories thereof",2023-01-31,exports,74048.829,Other
Miscellaneous Manufactured articles,2023-01-31,exports,54967.31,Miscellaneous Manufactured articles
"Works of Arts, Collectors, Pieces, Antiques and Special Transactions NES",2023-01-31,exports,3465.26,Other
Live Animals and Animals Products,2022-12-31,exports,80174.253,Live Animals and Animals Products
Vegetable Products,2022-12-31,exports,266042.716,Vegetable Products
"Animal or Vegetable Fats, Oils and Waxes",2022-12-31,exports,2672.457,Other
"Prepared Foodstuffs; Beverages, Spirits, Vinegar and Tobacco",2022-12-31,exports,99363.91,"Prepared Foodstuffs; Beverages, Spirits, Vinegar and Tobacco"
Mineral Products,2022-12-31,exports,89401.902,Mineral Products
Products of Chemical or Allied Industries,2022-12-31,exports,44195.471,Products of Chemical or Allied Industries
Plastics and articles thereof; Rubber and articles thereof,2022-12-31,exports,39749.604,Plastics and articles thereof; Rubber and articles thereof
"Raw Hide and Skins, Leather, Fur skins and articles thereof",2022-12-31,exports,75919.833,"Raw Hide and Skins, Leather, Fur skins and articles thereof"
Wood and articles of Wood,2022-12-31,exports,3500.613,Other
Pulp of Wood or of other Fibrous Cellulosic Material,2022-12-31,exports,14058.985,Other
Textiles and Textile articles,2022-12-31,exports,1363762.906,Textiles and Textile articles
"Footwear, Headgear, Umbrellas, Walking Sticks etc..",2022-12-31,exports,15691.009,Other
"articles of Stone, Plaster, Cement, Asbestos, Mica or similar Materials",2022-12-31,exports,5098.005,Other
"Natural or Cultured Pearls, Precious or Semi Precious Stones, Metals",2022-12-31,exports,1681.904,Other
Base Metals and articles or Base Metal,2022-12-31,exports,80851.519,Base Metals and articles or Base Metal
Machinery and Mechanical Appliances,2022-12-31,exports,15236.943,Other
"Vehicles, Aircraft, Vessels and Associated Transport Equipment",2022-12-31,exports,4786.216,Other
"Optical, Photographic, Cinematographer, Measuring, Checking, Precision Apparatus",2022-12-31,exports,43721.284,Other
"Arms and Ammunition, Parts and Acces.sories thereof",2022-12-31,exports,21260.724,Other
Miscellaneous Manufactured articles,2022-12-31,exports,45190.92,Miscellaneous Manufactured articles
"Works of Arts, Collectors, Pieces, Antiques and Special Transactions NES",2022-12-31,exports,2019.092,Other
Live Animals and Animals Products,2022-11-30,exports,86372.293,Live Animals and Animals Products
Vegetable Products,2022-11-30,exports,231303.303,Vegetable Products
"Animal or Vegetable Fats, Oils and Waxes",2022-11-30,exports,4379.202,Other
"Prepared Foodstuffs; Beverages, Spirits, Vinegar and Tobacco",2022-11-30,exports,88795.739,"Prepared Foodstuffs; Beverages, Spirits, Vinegar and Tobacco"
Mineral Products,2022-11-30,exports,131477.985,Mineral Products
Products of Chemical or Allied Industries,2022-11-30,exports,46008.354,Products of Chemical or Allied Industries
Plastics and articles thereof; Rubber and articles thereof,2022-11-30,exports,41577.166,Plastics and articles thereof; Rubber and articles thereof
"Raw Hide and Skins, Leather, Fur skins and articles thereof",2022-11-30,exports,81463.728,"Raw Hide and Skins, Leather, Fur skins and articles thereof"
Wood and articles of Wood,2022-11-30,exports,2060.045,Other
Pulp of Wood or of other Fibrous Cellulosic Material,2022-11-30,exports,8313.25,Other
Textiles and Textile articles,2022-11-30,exports,1430351.949,Textiles and Textile articles
"Footwear, Headgear, Umbrellas, Walking Sticks etc..",2022-11-30,exports,12426.399,Other
"articles of Stone, Plaster, Cement, Asbestos, Mica or similar Materials",2022-11-30,exports,4734.235,Other
"Natural or Cultured Pearls, Precious or Semi Precious Stones, Metals",2022-11-30,exports,4703.28,Other
Base Metals and articles or Base Metal,2022-11-30,exports,82586.97,Base Metals and articles or Base Metal
Machinery and Mechanical Appliances,2022-11-30,exports,14204.915,Other
"Vehicles, Aircraft, Vessels and Associated Transport Equipment",2022-11-30,exports,8032.535,Other
"Optical, Photographic, Cinematographer, Measuring, Checking, Precision Apparatus",2022-11-30,exports,41329.619,Other
"Arms and Ammunition, Parts and Acces.sories thereof",2022-11-30,exports,13788.653,Other
Miscellaneous Manufactured articles,2022-11-30,exports,45812.008,Miscellaneous Manufactured articles
"Works of Arts, Collectors, Pieces, Antiques and Special Transactions NES",2022-11-30,exports,4802.432,Other
Live Animals and Animals Products,2022-10-31,exports,81490,Live Animals and Animals Products
Vegetable Products,2022-10-31,exports,196338.126,Vegetable Products
"Animal or Vegetable Fats, Oils and Waxes",2022-10-31,exports,3744.904,Other
"Prepared Foodstuffs; Beverages, Spirits, Vinegar and Tobacco",2022-10-31,exports,124273.55,"Prepared Foodstuffs; Beverages, Spirits, Vinegar and Tobacco"
Mineral Products,2022-10-31,exports,81909.666,Mineral Products
Products of Chemical or Allied Industries,2022-10-31,exports,41965.789,Products of Chemical or Allied Industries
Plastics and articles thereof; Rubber and articles thereof,2022-10-31,exports,38775.207,Plastics and articles thereof; Rubber and articles thereof
"Raw Hide and Skins, Leather, Fur skins and articles thereof",2022-10-31,exports,83948.686,"Raw Hide and Skins, Leather, Fur skins and articles thereof"
Wood and articles of Wood,2022-10-31,exports,3607.888,Other
Pulp of Wood or of other Fibrous Cellulosic Material,2022-10-31,exports,8388.1,Other
Textiles and Textile articles,2022-10-31,exports,1499067.974,Textiles and Textile articles
"Footwear, Headgear, Umbrellas, Walking Sticks etc..",2022-10-31,exports,13882.947,Other
"articles of Stone, Plaster, Cement, Asbestos, Mica or similar Materials",2022-10-31,exports,4921.147,Other
"Natural or Cultured Pearls, Precious or Semi Precious Stones, Metals",2022-10-31,exports,2686.096,Other
Base Metals and articles or Base Metal,2022-10-31,exports,80742.494,Base Metals and articles or Base Metal
Machinery and Mechanical Appliances,2022-10-31,exports,12529.591,Other
"Vehicles, Aircraft, Vessels and Associated Transport Equipment",2022-10-31,exports,8069.132,Other
"Optical, Photographic, Cinematographer, Measuring, Checking, Precision Apparatus",2022-10-31,exports,39886.868,Other
"Arms and Ammunition, Parts and Acces.sories thereof",2022-10-31,exports,10320.672,Other
Miscellaneous Manufactured articles,2022-10-31,exports,52273.532,Miscellaneous Manufactured articles
"Works of Arts, Collectors, Pieces, Antiques and Special Transactions NES",2022-10-31,exports,125.595,Other
Live Animals and Animals Products,2022-09-30,exports,67061.231,Live Animals and Animals Products
Vegetable Products,2022-09-30,exports,247514.452,Vegetable Products
