Month,Price,Change,type,0
May 1993,79.18,-,Agricultural Raw Materials Price Index,
Jun 1993,79.1,-0.11%,Agricultural Raw Materials Price Index,
Jul 1993,79.05,-0.06%,Agricultural Raw Materials Price Index,
Aug 1993,78.4,-0.83%,Agricultural Raw Materials Price Index,
Sep 1993,76.29,-2.69%,Agricultural Raw Materials Price Index,
Oct 1993,75.82,-0.62%,Agricultural Raw Materials Price Index,
Nov 1993,73.38,-3.21%,Agricultural Raw Materials Price Index,
Dec 1993,72.37,-1.38%,Agricultural Raw Materials Price Index,
Jan 1994,70.47,-2.63%,Agricultural Raw Materials Price Index,
Feb 1994,71.45,1.39%,Agricultural Raw Materials Price Index,
Mar 1994,72.99,2.16%,Agricultural Raw Materials Price Index,
Apr 1994,76.58,4.92%,Agricultural Raw Materials Price Index,
May 1994,79.32,3.57%,Agricultural Raw Materials Price Index,
Jun 1994,80.85,1.92%,Agricultural Raw Materials Price Index,
Jul 1994,81.03,0.22%,Agricultural Raw Materials Price Index,
Aug 1994,80.26,-0.95%,Agricultural Raw Materials Price Index,
Sep 1994,78.39,-2.33%,Agricultural Raw Materials Price Index,
Oct 1994,76.06,-2.97%,Agricultural Raw Materials Price Index,
Nov 1994,75.15,-1.20%,Agricultural Raw Materials Price Index,
Dec 1994,74.94,-0.28%,Agricultural Raw Materials Price Index,
Jan 1995,77.5,3.41%,Agricultural Raw Materials Price Index,
Feb 1995,77.31,-0.24%,Agricultural Raw Materials Price Index,
Mar 1995,77.73,0.53%,Agricultural Raw Materials Price Index,
Apr 1995,79.61,2.43%,Agricultural Raw Materials Price Index,
May 1995,79.4,-0.27%,Agricultural Raw Materials Price Index,
Jun 1995,75.69,-4.67%,Agricultural Raw Materials Price Index,
Jul 1995,73.29,-3.18%,Agricultural Raw Materials Price Index,
Aug 1995,71.46,-2.49%,Agricultural Raw Materials Price Index,
Sep 1995,71.25,-0.30%,Agricultural Raw Materials Price Index,
Oct 1995,71.88,0.89%,Agricultural Raw Materials Price Index,
Nov 1995,72.6,1.00%,Agricultural Raw Materials Price Index,
Dec 1995,73.2,0.83%,Agricultural Raw Materials Price Index,
Jan 1996,72.56,-0.88%,Agricultural Raw Materials Price Index,
Feb 1996,72.77,0.29%,Agricultural Raw Materials Price Index,
Mar 1996,73.3,0.72%,Agricultural Raw Materials Price Index,
Apr 1996,74.25,1.30%,Agricultural Raw Materials Price Index,
May 1996,74.92,0.90%,Agricultural Raw Materials Price Index,
Jun 1996,74.38,-0.72%,Agricultural Raw Materials Price Index,
Jul 1996,73.42,-1.29%,Agricultural Raw Materials Price Index,
Aug 1996,73.16,-0.36%,Agricultural Raw Materials Price Index,
Sep 1996,73.45,0.40%,Agricultural Raw Materials Price Index,
Oct 1996,73.02,-0.59%,Agricultural Raw Materials Price Index,
Nov 1996,73.22,0.28%,Agricultural Raw Materials Price Index,
Dec 1996,71.56,-2.27%,Agricultural Raw Materials Price Index,
Jan 1997,72.8,1.73%,Agricultural Raw Materials Price Index,
Feb 1997,73.09,0.40%,Agricultural Raw Materials Price Index,
Mar 1997,73.75,0.90%,Agricultural Raw Materials Price Index,
Apr 1997,72.84,-1.23%,Agricultural Raw Materials Price Index,
May 1997,73.34,0.69%,Agricultural Raw Materials Price Index,
Jun 1997,74.04,0.95%,Agricultural Raw Materials Price Index,
Jul 1997,70.71,-4.51%,Agricultural Raw Materials Price Index,
Aug 1997,67.39,-4.69%,Agricultural Raw Materials Price Index,
Sep 1997,64.06,-4.94%,Agricultural Raw Materials Price Index,
Oct 1997,60.63,-5.36%,Agricultural Raw Materials Price Index,
Nov 1997,59.21,-2.34%,Agricultural Raw Materials Price Index,
Dec 1997,55.93,-5.54%,Agricultural Raw Materials Price Index,
Jan 1998,51.66,-7.63%,Agricultural Raw Materials Price Index,
Feb 1998,56.49,9.35%,Agricultural Raw Materials Price Index,
Mar 1998,55.44,-1.86%,Agricultural Raw Materials Price Index,
Apr 1998,54.4,-1.86%,Agricultural Raw Materials Price Index,
May 1998,51.57,-5.20%,Agricultural Raw Materials Price Index,
Jun 1998,50.01,-3.03%,Agricultural Raw Materials Price Index,
Jul 1998,49.2,-1.62%,Agricultural Raw Materials Price Index,
Aug 1998,49.51,0.63%,Agricultural Raw Materials Price Index,
Sep 1998,52.25,5.52%,Agricultural Raw Materials Price Index,
Oct 1998,53.02,1.48%,Agricultural Raw Materials Price Index,
Nov 1998,52.1,-1.74%,Agricultural Raw Materials Price Index,
Dec 1998,52.72,1.19%,Agricultural Raw Materials Price Index,
Jan 1999,53.68,1.82%,Agricultural Raw Materials Price Index,
Feb 1999,53.79,0.20%,Agricultural Raw Materials Price Index,
Mar 1999,53.82,0.06%,Agricultural Raw Materials Price Index,
Apr 1999,53.78,-0.07%,Agricultural Raw Materials Price Index,
May 1999,55.24,2.70%,Agricultural Raw Materials Price Index,
Jun 1999,56.75,2.74%,Agricultural Raw Materials Price Index,
Jul 1999,57.03,0.49%,Agricultural Raw Materials Price Index,
Aug 1999,57.16,0.22%,Agricultural Raw Materials Price Index,
Sep 1999,57.8,1.12%,Agricultural Raw Materials Price Index,
Oct 1999,57.7,-0.17%,Agricultural Raw Materials Price Index,
Nov 1999,58.24,0.93%,Agricultural Raw Materials Price Index,
Dec 1999,57.9,-0.57%,Agricultural Raw Materials Price Index,
Jan 2000,57.81,-0.17%,Agricultural Raw Materials Price Index,
Feb 2000,58.54,1.28%,Agricultural Raw Materials Price Index,
Mar 2000,58.7,0.27%,Agricultural Raw Materials Price Index,
Apr 2000,59.19,0.82%,Agricultural Raw Materials Price Index,
May 2000,58.57,-1.05%,Agricultural Raw Materials Price Index,
Jun 2000,58.49,-0.14%,Agricultural Raw Materials Price Index,
Jul 2000,56.82,-2.85%,Agricultural Raw Materials Price Index,
Aug 2000,57.29,0.83%,Agricultural Raw Materials Price Index,
Sep 2000,54.34,-5.15%,Agricultural Raw Materials Price Index,
Oct 2000,54.05,-0.52%,Agricultural Raw Materials Price Index,
Nov 2000,53.09,-1.78%,Agricultural Raw Materials Price Index,
Dec 2000,52.37,-1.36%,Agricultural Raw Materials Price Index,
Jan 2001,51.16,-2.31%,Agricultural Raw Materials Price Index,
Feb 2001,51.13,-0.05%,Agricultural Raw Materials Price Index,
Mar 2001,50.17,-1.87%,Agricultural Raw Materials Price Index,
Apr 2001,49.66,-1.03%,Agricultural Raw Materials Price Index,
May 2001,49.06,-1.21%,Agricultural Raw Materials Price Index,
Jun 2001,48.47,-1.20%,Agricultural Raw Materials Price Index,
Jul 2001,47.47,-2.06%,Agricultural Raw Materials Price Index,
Aug 2001,47.54,0.14%,Agricultural Raw Materials Price Index,
Sep 2001,47.83,0.62%,Agricultural Raw Materials Price Index,
Oct 2001,45.32,-5.26%,Agricultural Raw Materials Price Index,
Nov 2001,44.88,-0.96%,Agricultural Raw Materials Price Index,
Dec 2001,45.14,0.58%,Agricultural Raw Materials Price Index,
Jan 2002,45.38,0.53%,Agricultural Raw Materials Price Index,
Feb 2002,46.38,2.21%,Agricultural Raw Materials Price Index,
Mar 2002,46.86,1.05%,Agricultural Raw Materials Price Index,
Apr 2002,47.59,1.54%,Agricultural Raw Materials Price Index,
May 2002,48.09,1.06%,Agricultural Raw Materials Price Index,
Jun 2002,50.78,5.60%,Agricultural Raw Materials Price Index,
Jul 2002,52.54,3.46%,Agricultural Raw Materials Price Index,
Aug 2002,53.87,2.53%,Agricultural Raw Materials Price Index,
Sep 2002,54.16,0.54%,Agricultural Raw Materials Price Index,
Oct 2002,53.81,-0.65%,Agricultural Raw Materials Price Index,
Nov 2002,53.71,-0.18%,Agricultural Raw Materials Price Index,
Dec 2002,54.61,1.67%,Agricultural Raw Materials Price Index,
Jan 2003,54.67,0.09%,Agricultural Raw Materials Price Index,
Feb 2003,55.15,0.89%,Agricultural Raw Materials Price Index,
Mar 2003,56.34,2.15%,Agricultural Raw Materials Price Index,
Apr 2003,55.58,-1.35%,Agricultural Raw Materials Price Index,
May 2003,55.0,-1.05%,Agricultural Raw Materials Price Index,
Jun 2003,55.17,0.31%,Agricultural Raw Materials Price Index,
Jul 2003,55.31,0.26%,Agricultural Raw Materials Price Index,
Aug 2003,56.12,1.45%,Agricultural Raw Materials Price Index,
Sep 2003,56.5,0.69%,Agricultural Raw Materials Price Index,
Oct 2003,59.0,4.41%,Agricultural Raw Materials Price Index,
Nov 2003,59.28,0.48%,Agricultural Raw Materials Price Index,
Dec 2003,58.49,-1.34%,Agricultural Raw Materials Price Index,
Jan 2004,59.05,0.96%,Agricultural Raw Materials Price Index,
Feb 2004,59.74,1.16%,Agricultural Raw Materials Price Index,
Mar 2004,59.67,-0.11%,Agricultural Raw Materials Price Index,
Apr 2004,59.71,0.06%,Agricultural Raw Materials Price Index,
May 2004,60.92,2.04%,Agricultural Raw Materials Price Index,
Jun 2004,61.02,0.16%,Agricultural Raw Materials Price Index,
Jul 2004,59.73,-2.11%,Agricultural Raw Materials Price Index,
Aug 2004,59.06,-1.13%,Agricultural Raw Materials Price Index,
Sep 2004,59.23,0.29%,Agricultural Raw Materials Price Index,
Oct 2004,59.31,0.14%,Agricultural Raw Materials Price Index,
Nov 2004,59.22,-0.15%,Agricultural Raw Materials Price Index,
Dec 2004,58.38,-1.42%,Agricultural Raw Materials Price Index,
Jan 2005,60.04,2.83%,Agricultural Raw Materials Price Index,
Feb 2005,60.74,1.16%,Agricultural Raw Materials Price Index,
Mar 2005,62.27,2.53%,Agricultural Raw Materials Price Index,
Apr 2005,62.22,-0.09%,Agricultural Raw Materials Price Index,
May 2005,63.4,1.90%,Agricultural Raw Materials Price Index,
Jun 2005,63.9,0.79%,Agricultural Raw Materials Price Index,
Jul 2005,65.46,2.45%,Agricultural Raw Materials Price Index,
Aug 2005,65.24,-0.34%,Agricultural Raw Materials Price Index,
Sep 2005,66.52,1.97%,Agricultural Raw Materials Price Index,
Oct 2005,66.72,0.31%,Agricultural Raw Materials Price Index,
Nov 2005,66.65,-0.10%,Agricultural Raw Materials Price Index,
Dec 2005,67.62,1.45%,Agricultural Raw Materials Price Index,
Jan 2006,70.68,4.53%,Agricultural Raw Materials Price Index,
Feb 2006,71.94,1.78%,Agricultural Raw Materials Price Index,
Mar 2006,71.68,-0.36%,Agricultural Raw Materials Price Index,
Apr 2006,72.47,1.10%,Agricultural Raw Materials Price Index,
May 2006,76.64,5.75%,Agricultural Raw Materials Price Index,
Jun 2006,77.62,1.28%,Agricultural Raw Materials Price Index,
Jul 2006,76.55,-1.39%,Agricultural Raw Materials Price Index,
Aug 2006,76.55,0.01%,Agricultural Raw Materials Price Index,
Sep 2006,74.59,-2.56%,Agricultural Raw Materials Price Index,
Oct 2006,74.29,-0.40%,Agricultural Raw Materials Price Index,
Nov 2006,74.29,-0.01%,Agricultural Raw Materials Price Index,
Dec 2006,76.45,2.92%,Agricultural Raw Materials Price Index,
Jan 2007,78.26,2.36%,Agricultural Raw Materials Price Index,
Feb 2007,79.59,1.70%,Agricultural Raw Materials Price Index,
Mar 2007,79.85,0.33%,Agricultural Raw Materials Price Index,
Apr 2007,81.1,1.56%,Agricultural Raw Materials Price Index,
May 2007,81.05,-0.07%,Agricultural Raw Materials Price Index,
Jun 2007,80.71,-0.41%,Agricultural Raw Materials Price Index,
Jul 2007,81.57,1.06%,Agricultural Raw Materials Price Index,
Aug 2007,81.34,-0.28%,Agricultural Raw Materials Price Index,
Sep 2007,82.11,0.94%,Agricultural Raw Materials Price Index,
Oct 2007,82.7,0.73%,Agricultural Raw Materials Price Index,
Nov 2007,83.92,1.48%,Agricultural Raw Materials Price Index,
Dec 2007,83.12,-0.96%,Agricultural Raw Materials Price Index,
Jan 2008,86.1,3.58%,Agricultural Raw Materials Price Index,
Feb 2008,89.28,3.70%,Agricultural Raw Materials Price Index,
Mar 2008,93.16,4.34%,Agricultural Raw Materials Price Index,
Apr 2008,93.9,0.79%,Agricultural Raw Materials Price Index,
May 2008,94.57,0.72%,Agricultural Raw Materials Price Index,
Jun 2008,95.74,1.24%,Agricultural Raw Materials Price Index,
Jul 2008,96.02,0.30%,Agricultural Raw Materials Price Index,
Aug 2008,91.95,-4.24%,Agricultural Raw Materials Price Index,
Sep 2008,91.93,-0.02%,Agricultural Raw Materials Price Index,
Oct 2008,84.76,-7.79%,Agricultural Raw Materials Price Index,
Nov 2008,83.1,-1.96%,Agricultural Raw Materials Price Index,
Dec 2008,79.7,-4.09%,Agricultural Raw Materials Price Index,
Jan 2009,80.67,1.22%,Agricultural Raw Materials Price Index,
Feb 2009,80.22,-0.56%,Agricultural Raw Materials Price Index,
Mar 2009,78.98,-1.55%,Agricultural Raw Materials Price Index,
Apr 2009,80.49,1.91%,Agricultural Raw Materials Price Index,
May 2009,83.84,4.17%,Agricultural Raw Materials Price Index,
Jun 2009,81.43,-2.87%,Agricultural Raw Materials Price Index,
Jul 2009,79.58,-2.28%,Agricultural Raw Materials Price Index,
Aug 2009,81.77,2.74%,Agricultural Raw Materials Price Index,
Sep 2009,83.4,1.99%,Agricultural Raw Materials Price Index,
Oct 2009,85.73,2.79%,Agricultural Raw Materials Price Index,
Nov 2009,88.33,3.04%,Agricultural Raw Materials Price Index,
Dec 2009,89.0,0.75%,Agricultural Raw Materials Price Index,
Jan 2010,90.5,1.69%,Agricultural Raw Materials Price Index,
Feb 2010,90.01,-0.55%,Agricultural Raw Materials Price Index,
Mar 2010,91.69,1.87%,Agricultural Raw Materials Price Index,
Apr 2010,96.87,5.65%,Agricultural Raw Materials Price Index,
May 2010,96.69,-0.19%,Agricultural Raw Materials Price Index,
Jun 2010,97.22,0.55%,Agricultural Raw Materials Price Index,
Jul 2010,96.59,-0.64%,Agricultural Raw Materials Price Index,
Aug 2010,99.28,2.78%,Agricultural Raw Materials Price Index,
Sep 2010,102.16,2.90%,Agricultural Raw Materials Price Index,
Oct 2010,107.46,5.18%,Agricultural Raw Materials Price Index,
Nov 2010,113.96,6.05%,Agricultural Raw Materials Price Index,
Dec 2010,117.58,3.17%,Agricultural Raw Materials Price Index,
Jan 2011,124.47,5.87%,Agricultural Raw Materials Price Index,
Feb 2011,134.23,7.84%,Agricultural Raw Materials Price Index,
Mar 2011,131.99,-1.66%,Agricultural Raw Materials Price Index,
Apr 2011,134.56,1.94%,Agricultural Raw Materials Price Index,
May 2011,125.99,-6.37%,Agricultural Raw Materials Price Index,
Jun 2011,124.37,-1.28%,Agricultural Raw Materials Price Index,
Jul 2011,121.19,-2.56%,Agricultural Raw Materials Price Index,
Aug 2011,121.32,0.10%,Agricultural Raw Materials Price Index,
Sep 2011,120.1,-1.01%,Agricultural Raw Materials Price Index,
Oct 2011,115.69,-3.67%,Agricultural Raw Materials Price Index,
Nov 2011,106.32,-8.10%,Agricultural Raw Materials Price Index,
Dec 2011,104.24,-1.96%,Agricultural Raw Materials Price Index,
Jan 2012,105.72,1.43%,Agricultural Raw Materials Price Index,
Feb 2012,107.85,2.01%,Agricultural Raw Materials Price Index,
Mar 2012,106.46,-1.28%,Agricultural Raw Materials Price Index,
Apr 2012,106.26,-0.20%,Agricultural Raw Materials Price Index,
May 2012,104.6,-1.56%,Agricultural Raw Materials Price Index,
Jun 2012,98.81,-5.53%,Agricultural Raw Materials Price Index,
Jul 2012,97.55,-1.28%,Agricultural Raw Materials Price Index,
Aug 2012,95.74,-1.85%,Agricultural Raw Materials Price Index,
Sep 2012,98.14,2.50%,Agricultural Raw Materials Price Index,
Oct 2012,98.64,0.51%,Agricultural Raw Materials Price Index,
Nov 2012,97.21,-1.45%,Agricultural Raw Materials Price Index,
Dec 2012,99.1,1.94%,Agricultural Raw Materials Price Index,
Jan 2013,99.46,0.36%,Agricultural Raw Materials Price Index,
Feb 2013,97.21,-2.26%,Agricultural Raw Materials Price Index,
Mar 2013,95.19,-2.08%,Agricultural Raw Materials Price Index,
Apr 2013,94.44,-0.78%,Agricultural Raw Materials Price Index,
May 2013,95.0,0.58%,Agricultural Raw Materials Price Index,
Jun 2013,95.14,0.15%,Agricultural Raw Materials Price Index,
Jul 2013,92.92,-2.34%,Agricultural Raw Materials Price Index,
Aug 2013,94.16,1.34%,Agricultural Raw Materials Price Index,
Sep 2013,95.18,1.08%,Agricultural Raw Materials Price Index,
Oct 2013,95.39,0.23%,Agricultural Raw Materials Price Index,
Nov 2013,95.25,-0.16%,Agricultural Raw Materials Price Index,
Dec 2013,95.59,0.36%,Agricultural Raw Materials Price Index,
Jan 2014,95.17,-0.44%,Agricultural Raw Materials Price Index,
Feb 2014,95.26,0.10%,Agricultural Raw Materials Price Index,
Mar 2014,96.55,1.36%,Agricultural Raw Materials Price Index,
Apr 2014,95.76,-0.82%,Agricultural Raw Materials Price Index,
May 2014,95.23,-0.56%,Agricultural Raw Materials Price Index,
Jun 2014,94.87,-0.37%,Agricultural Raw Materials Price Index,
Jul 2014,94.29,-0.61%,Agricultural Raw Materials Price Index,
Aug 2014,90.98,-3.51%,Agricultural Raw Materials Price Index,
Sep 2014,88.26,-2.99%,Agricultural Raw Materials Price Index,
Oct 2014,87.03,-1.39%,Agricultural Raw Materials Price Index,
Nov 2014,85.1,-2.22%,Agricultural Raw Materials Price Index,
Dec 2014,84.37,-0.85%,Agricultural Raw Materials Price Index,
Jan 2015,83.46,-1.09%,Agricultural Raw Materials Price Index,
Feb 2015,85.02,1.87%,Agricultural Raw Materials Price Index,
Mar 2015,83.64,-1.62%,Agricultural Raw Materials Price Index,
Apr 2015,83.68,0.05%,Agricultural Raw Materials Price Index,
May 2015,86.01,2.78%,Agricultural Raw Materials Price Index,
Jun 2015,85.64,-0.42%,Agricultural Raw Materials Price Index,
Jul 2015,84.36,-1.50%,Agricultural Raw Materials Price Index,
Aug 2015,83.38,-1.16%,Agricultural Raw Materials Price Index,
Sep 2015,81.9,-1.77%,Agricultural Raw Materials Price Index,
Oct 2015,81.69,-0.25%,Agricultural Raw Materials Price Index,
Nov 2015,80.46,-1.51%,Agricultural Raw Materials Price Index,
Dec 2015,80.2,-0.32%,Agricultural Raw Materials Price Index,
Jan 2016,78.42,-2.22%,Agricultural Raw Materials Price Index,
Feb 2016,78.25,-0.23%,Agricultural Raw Materials Price Index,
Mar 2016,78.88,0.81%,Agricultural Raw Materials Price Index,
Apr 2016,81.58,3.41%,Agricultural Raw Materials Price Index,
May 2016,82.09,0.62%,Agricultural Raw Materials Price Index,
Jun 2016,81.67,-0.51%,Agricultural Raw Materials Price Index,
Jul 2016,80.61,-1.29%,Agricultural Raw Materials Price Index,
Aug 2016,80.53,-0.10%,Agricultural Raw Materials Price Index,
Sep 2016,80.67,0.17%,Agricultural Raw Materials Price Index,
Oct 2016,78.85,-2.26%,Agricultural Raw Materials Price Index,
Nov 2016,79.85,1.27%,Agricultural Raw Materials Price Index,
Dec 2016,81.58,2.17%,Agricultural Raw Materials Price Index,
Jan 2017,83.61,2.49%,Agricultural Raw Materials Price Index,
Feb 2017,85.36,2.10%,Agricultural Raw Materials Price Index,
Mar 2017,82.99,-2.78%,Agricultural Raw Materials Price Index,
Apr 2017,82.74,-0.30%,Agricultural Raw Materials Price Index,
May 2017,82.35,-0.48%,Agricultural Raw Materials Price Index,
Jun 2017,79.17,-3.86%,Agricultural Raw Materials Price Index,
Jul 2017,79.59,0.54%,Agricultural Raw Materials Price Index,
Aug 2017,79.6,0.01%,Agricultural Raw Materials Price Index,
Sep 2017,80.5,1.13%,Agricultural Raw Materials Price Index,
Oct 2017,78.74,-2.19%,Agricultural Raw Materials Price Index,
Nov 2017,78.82,0.11%,Agricultural Raw Materials Price Index,
Dec 2017,80.45,2.07%,Agricultural Raw Materials Price Index,
Jan 2018,82.79,2.90%,Agricultural Raw Materials Price Index,
Feb 2018,83.19,0.49%,Agricultural Raw Materials Price Index,
Mar 2018,84.34,1.38%,Agricultural Raw Materials Price Index,
Apr 2018,84.61,0.33%,Agricultural Raw Materials Price Index,
May 2018,83.08,-1.82%,Agricultural Raw Materials Price Index,
Jun 2018,82.17,-1.09%,Agricultural Raw Materials Price Index,
Jul 2018,80.94,-1.50%,Agricultural Raw Materials Price Index,
Aug 2018,80.26,-0.84%,Agricultural Raw Materials Price Index,
Sep 2018,79.93,-0.41%,Agricultural Raw Materials Price Index,
Oct 2018,79.13,-1.00%,Agricultural Raw Materials Price Index,
Nov 2018,78.28,-1.07%,Agricultural Raw Materials Price Index,
Dec 2018,78.33,0.05%,Agricultural Raw Materials Price Index,
Jan 2019,79.74,1.80%,Agricultural Raw Materials Price Index,
Feb 2019,79.61,-0.16%,Agricultural Raw Materials Price Index,
Mar 2019,80.55,1.18%,Agricultural Raw Materials Price Index,
Apr 2019,80.31,-0.30%,Agricultural Raw Materials Price Index,
May 2019,79.41,-1.12%,Agricultural Raw Materials Price Index,
Jun 2019,79.72,0.39%,Agricultural Raw Materials Price Index,
Jul 2019,77.15,-3.22%,Agricultural Raw Materials Price Index,
Aug 2019,74.87,-2.95%,Agricultural Raw Materials Price Index,
Sep 2019,76.34,1.96%,Agricultural Raw Materials Price Index,
Oct 2019,76.89,0.72%,Agricultural Raw Materials Price Index,
Nov 2019,78.17,1.67%,Agricultural Raw Materials Price Index,
Dec 2019,79.42,1.60%,Agricultural Raw Materials Price Index,
Jan 2020,79.74,0.41%,Agricultural Raw Materials Price Index,
Feb 2020,77.66,-2.61%,Agricultural Raw Materials Price Index,
Mar 2020,74.6,-3.95%,Agricultural Raw Materials Price Index,
Apr 2020,72.98,-2.16%,Agricultural Raw Materials Price Index,
May 2020,73.22,0.32%,Agricultural Raw Materials Price Index,
Jun 2020,74.37,1.58%,Agricultural Raw Materials Price Index,
Jul 2020,75.37,1.34%,Agricultural Raw Materials Price Index,
Aug 2020,78.07,3.58%,Agricultural Raw Materials Price Index,
Sep 2020,78.35,0.36%,Agricultural Raw Materials Price Index,
Oct 2020,80.92,3.28%,Agricultural Raw Materials Price Index,
Nov 2020,82.59,2.06%,Agricultural Raw Materials Price Index,
Dec 2020,83.72,1.37%,Agricultural Raw Materials Price Index,
Jan 2021,84.65,1.11%,Agricultural Raw Materials Price Index,
Feb 2021,86.04,1.64%,Agricultural Raw Materials Price Index,
Mar 2021,85.74,-0.35%,Agricultural Raw Materials Price Index,
Apr 2021,84.3,-1.68%,Agricultural Raw Materials Price Index,
May 2021,85.61,1.55%,Agricultural Raw Materials Price Index,
Jun 2021,84.67,-1.09%,Agricultural Raw Materials Price Index,
Jul 2021,82.68,-2.35%,Agricultural Raw Materials Price Index,
Aug 2021,83.0,0.38%,Agricultural Raw Materials Price Index,
Sep 2021,82.75,-0.30%,Agricultural Raw Materials Price Index,
Oct 2021,84.89,2.59%,Agricultural Raw Materials Price Index,
Nov 2021,85.53,0.75%,Agricultural Raw Materials Price Index,
Dec 2021,84.24,-1.51%,Agricultural Raw Materials Price Index,
Jan 2022,86.18,2.30%,Agricultural Raw Materials Price Index,
Feb 2022,87.01,0.97%,Agricultural Raw Materials Price Index,
Mar 2022,85.88,-1.31%,Agricultural Raw Materials Price Index,
Apr 2022,86.01,0.16%,Agricultural Raw Materials Price Index,
May 2022,84.97,-1.21%,Agricultural Raw Materials Price Index,
Jun 2022,83.07,-2.23%,Agricultural Raw Materials Price Index,
Jul 2022,79.04,-4.85%,Agricultural Raw Materials Price Index,
Aug 2022,78.05,-1.26%,Agricultural Raw Materials Price Index,
Sep 2022,73.47,-5.86%,Agricultural Raw Materials Price Index,
Oct 2022,71.39,-2.83%,Agricultural Raw Materials Price Index,
Nov 2022,72.92,2.15%,Agricultural Raw Materials Price Index,
Dec 2022,75.25,3.19%,Agricultural Raw Materials Price Index,
Jan 2023,76.26,1.35%,Agricultural Raw Materials Price Index,
Feb 2023,75.66,-0.79%,Agricultural Raw Materials Price Index,
Mar 2023,73.89,-2.34%,Agricultural Raw Materials Price Index,
Apr 2023,74.66,1.05%,Agricultural Raw Materials Price Index,
May 1993,51.5,-,Commodity Price Index,
Jun 1993,50.08,-2.76%,Commodity Price Index,
Jul 1993,50.01,-0.14%,Commodity Price Index,
Aug 1993,49.85,-0.32%,Commodity Price Index,
Sep 1993,48.93,-1.85%,Commodity Price Index,
Oct 1993,48.97,0.08%,Commodity Price Index,
Nov 1993,48.26,-1.45%,Commodity Price Index,
Dec 1993,48.52,0.54%,Commodity Price Index,
Jan 1994,49.31,1.63%,Commodity Price Index,
Feb 1994,50.13,1.66%,Commodity Price Index,
Mar 1994,49.67,-0.92%,Commodity Price Index,
Apr 1994,50.36,1.39%,Commodity Price Index,
May 1994,51.76,2.78%,Commodity Price Index,
Jun 1994,52.66,1.74%,Commodity Price Index,
Jul 1994,53.94,2.43%,Commodity Price Index,
Aug 1994,52.87,-1.98%,Commodity Price Index,
Sep 1994,52.93,0.11%,Commodity Price Index,
Oct 1994,53.48,1.04%,Commodity Price Index,
Nov 1994,53.58,0.19%,Commodity Price Index,
Dec 1994,54.61,1.92%,Commodity Price Index,
Jan 1995,55.25,1.17%,Commodity Price Index,
Feb 1995,55.63,0.69%,Commodity Price Index,
Mar 1995,56.23,1.08%,Commodity Price Index,
Apr 1995,56.75,0.92%,Commodity Price Index,
May 1995,55.98,-1.36%,Commodity Price Index,
Jun 1995,55.32,-1.18%,Commodity Price Index,
Jul 1995,54.81,-0.92%,Commodity Price Index,
Aug 1995,55.04,0.42%,Commodity Price Index,
Sep 1995,55.09,0.09%,Commodity Price Index,
Oct 1995,55.01,-0.15%,Commodity Price Index,
Nov 1995,55.88,1.58%,Commodity Price Index,
Dec 1995,58.59,4.85%,Commodity Price Index,
Jan 1996,58.09,-0.85%,Commodity Price Index,
Feb 1996,59.91,3.13%,Commodity Price Index,
Mar 1996,59.87,-0.07%,Commodity Price Index,
Apr 1996,60.8,1.55%,Commodity Price Index,
May 1996,60.07,-1.20%,Commodity Price Index,
Jun 1996,58.42,-2.75%,Commodity Price Index,
Jul 1996,59.11,1.18%,Commodity Price Index,
Aug 1996,58.89,-0.37%,Commodity Price Index,
Sep 1996,58.38,-0.87%,Commodity Price Index,
Oct 1996,59.16,1.34%,Commodity Price Index,
Nov 1996,59.83,1.13%,Commodity Price Index,
Dec 1996,62.54,4.53%,Commodity Price Index,
Jan 1997,61.62,-1.47%,Commodity Price Index,
Feb 1997,58.68,-4.77%,Commodity Price Index,
Mar 1997,57.86,-1.40%,Commodity Price Index,
Apr 1997,56.0,-3.21%,Commodity Price Index,
May 1997,57.39,2.48%,Commodity Price Index,
Jun 1997,55.02,-4.13%,Commodity Price Index,
Jul 1997,54.45,-1.04%,Commodity Price Index,
Aug 1997,54.72,0.50%,Commodity Price Index,
Sep 1997,54.81,0.16%,Commodity Price Index,
Oct 1997,55.48,1.22%,Commodity Price Index,
Nov 1997,54.35,-2.04%,Commodity Price Index,
Dec 1997,53.08,-2.34%,Commodity Price Index,
Jan 1998,50.17,-5.48%,Commodity Price Index,
Feb 1998,49.58,-1.18%,Commodity Price Index,
Mar 1998,48.89,-1.39%,Commodity Price Index,
Apr 1998,49.93,2.13%,Commodity Price Index,
May 1998,49.74,-0.38%,Commodity Price Index,
Jun 1998,47.56,-4.38%,Commodity Price Index,
Jul 1998,46.64,-1.93%,Commodity Price Index,
Aug 1998,45.22,-3.04%,Commodity Price Index,
Sep 1998,46.06,1.86%,Commodity Price Index,
Oct 1998,45.79,-0.59%,Commodity Price Index,
Nov 1998,45.17,-1.35%,Commodity Price Index,
Dec 1998,42.92,-4.98%,Commodity Price Index,
Jan 1999,43.77,1.98%,Commodity Price Index,
Feb 1999,42.01,-4.02%,Commodity Price Index,
Mar 1999,42.98,2.31%,Commodity Price Index,
Apr 1999,45.68,6.28%,Commodity Price Index,
May 1999,46.51,1.82%,Commodity Price Index,
Jun 1999,45.98,-1.14%,Commodity Price Index,
Jul 1999,47.5,3.31%,Commodity Price Index,
Aug 1999,49.75,4.74%,Commodity Price Index,
